ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
29/01/2003,26.59,3760,99978.4,26.05,31/01/2003,Stop Loss (-2%),97948.0,-2030.4,-2.03,GFS Strategy (Grandfather-Father-Son)
24/09/2003,39.83,2510,99973.3,39.03,25/09/2003,Stop Loss (-2%),97973.83,-1999.47,-2.0,GFS Strategy (Grandfather-Father-Son)
17/11/2003,44.47,2248,99968.56,43.58,18/11/2003,Stop Loss (-2%),97969.19,-1999.37,-2.0,GFS Strategy (Grandfather-Father-Son)
05/12/2003,43.25,2312,99994.0,45.84,15/12/2003,Target (+6%),105993.64,5999.64,6.0,GFS Strategy (Grandfather-Father-Son)
19/02/2004,56.77,1761,99971.97,55.63,20/02/2004,Stop Loss (-2%),97972.53,-1999.44,-2.0,GFS Strategy (Grandfather-Father-Son)
01/03/2004,56.42,1772,99976.24,59.81,09/03/2004,Target (+6%),105974.81,5998.57,6.0,GFS Strategy (Grandfather-Father-Son)
11/03/2004,56.58,1767,99976.86,55.45,12/03/2004,Stop Loss (-2%),97977.32,-1999.54,-2.0,GFS Strategy (Grandfather-Father-Son)
10/05/2004,59.08,1692,99963.36,57.34,11/05/2004,Stop Loss (-2%),97019.28,-2944.08,-2.95,GFS Strategy (Grandfather-Father-Son)
22/11/2005,82.26,1215,99945.9,87.2,28/11/2005,Target (+6%),105942.65,5996.75,6.0,GFS Strategy (Grandfather-Father-Son)
05/12/2005,83.9,1191,99924.9,88.93,19/12/2005,Target (+6%),105920.39,5995.49,6.0,GFS Strategy (Grandfather-Father-Son)
23/12/2005,83.92,1191,99948.72,82.24,26/12/2005,Stop Loss (-2%),97949.75,-1998.97,-2.0,GFS Strategy (Grandfather-Father-Son)
27/12/2005,83.75,1194,99997.5,88.78,05/01/2006,Target (+6%),105997.35,5999.85,6.0,GFS Strategy (Grandfather-Father-Son)
17/01/2006,85.34,1171,99933.14,83.63,18/01/2006,Stop Loss (-2%),97934.48,-1998.66,-2.0,GFS Strategy (Grandfather-Father-Son)
19/01/2006,85.33,1171,99921.43,83.62,25/01/2006,Stop Loss (-2%),97923.0,-1998.43,-2.0,GFS Strategy (Grandfather-Father-Son)
15/01/2007,114.89,870,99954.3,112.59,23/01/2007,Stop Loss (-2%),97955.21,-1999.09,-2.0,GFS Strategy (Grandfather-Father-Son)
01/02/2007,113.08,884,99962.72,110.82,02/02/2007,Stop Loss (-2%),97963.47,-1999.25,-2.0,GFS Strategy (Grandfather-Father-Son)
18/12/2007,216.15,462,99861.3,211.83,19/12/2007,Stop Loss (-2%),97864.07,-1997.23,-2.0,GFS Strategy (Grandfather-Father-Son)
18/01/2008,222.06,450,99927.0,217.62,21/01/2008,Stop Loss (-2%),97928.46,-1998.54,-2.0,GFS Strategy (Grandfather-Father-Son)
24/01/2008,220.26,454,99998.04,233.48,28/01/2008,Target (+6%),105997.92,5999.88,6.0,GFS Strategy (Grandfather-Father-Son)
06/02/2008,218.25,458,99958.5,213.88,07/02/2008,Stop Loss (-2%),97959.33,-1999.17,-2.0,GFS Strategy (Grandfather-Father-Son)
08/02/2008,219.21,456,99959.76,214.83,11/02/2008,Stop Loss (-2%),97960.56,-1999.2,-2.0,GFS Strategy (Grandfather-Father-Son)
21/02/2008,217.9,458,99798.2,213.54,22/02/2008,Stop Loss (-2%),97802.24,-1995.96,-2.0,GFS Strategy (Grandfather-Father-Son)
30/11/2009,223.96,446,99886.16,237.4,04/12/2009,Target (+6%),105879.33,5993.17,6.0,GFS Strategy (Grandfather-Father-Son)
11/12/2009,226.65,441,99952.65,222.12,15/12/2009,Stop Loss (-2%),97953.6,-1999.05,-2.0,GFS Strategy (Grandfather-Father-Son)
23/12/2009,221.0,452,99892.0,216.58,13/01/2010,Stop Loss (-2%),97894.16,-1997.84,-2.0,GFS Strategy (Grandfather-Father-Son)
25/06/2010,230.08,434,99854.72,225.48,01/07/2010,Stop Loss (-2%),97857.63,-1997.09,-2.0,GFS Strategy (Grandfather-Father-Son)
