ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
14/10/2003,33.25,460,15295.0,41.94,30/10/2003,Target (ATR),19291.74,3996.74,26.13,GFS (Smart ATR Stop)
10/11/2003,38.7,363,14048.1,49.7,24/12/2003,Target (ATR),18042.14,3994.04,28.43,GFS (Smart ATR Stop)
16/01/2004,52.53,256,13447.68,68.13,27/01/2004,Target (ATR),17441.28,3993.6,29.7,GFS (Smart ATR Stop)
03/02/2004,58.94,195,11493.3,79.43,02/04/2004,Target (ATR),15488.01,3994.71,34.76,GFS (Smart ATR Stop)
20/04/2004,76.93,254,19540.22,69.09,11/05/2004,Stop Loss (ATR),17547.77,-1992.45,-10.2,GFS (Smart ATR Stop)
13/05/2004,73.51,183,13452.33,62.59,14/05/2004,Stop Loss (ATR),11453.45,-1998.88,-14.86,GFS (Smart ATR Stop)
19/05/2004,71.14,149,10599.86,57.74,24/06/2004,Stop Loss (ATR),8602.62,-1997.24,-18.84,GFS (Smart ATR Stop)
19/11/2004,73.81,521,38455.01,81.48,01/12/2004,Target (ATR),42450.34,3995.33,10.39,GFS (Smart ATR Stop)
05/01/2005,96.67,159,15370.53,121.81,22/07/2005,Target (ATR),19368.24,3997.71,26.01,GFS (Smart ATR Stop)
23/08/2005,139.51,188,26227.88,160.73,16/09/2005,Target (ATR),30216.7,3988.82,15.21,GFS (Smart ATR Stop)
22/09/2005,153.94,161,24784.34,141.56,27/10/2005,Stop Loss (ATR),22790.7,-1993.64,-8.04,GFS (Smart ATR Stop)
28/10/2005,150.9,142,21427.8,178.94,18/01/2006,Target (ATR),25409.07,3981.27,18.58,GFS (Smart ATR Stop)
19/01/2006,159.15,155,24668.25,184.88,03/03/2006,Target (ATR),28657.06,3988.81,16.17,GFS (Smart ATR Stop)
08/03/2006,179.95,186,33470.7,169.2,25/04/2006,Stop Loss (ATR),31470.93,-1999.77,-5.97,GFS (Smart ATR Stop)
26/04/2006,189.26,117,22143.42,172.21,19/05/2006,Stop Loss (ATR),20149.07,-1994.35,-9.01,GFS (Smart ATR Stop)
25/05/2006,180.98,77,13935.46,155.31,02/06/2006,Stop Loss (ATR),11958.87,-1976.59,-14.18,GFS (Smart ATR Stop)
25/08/2006,191.9,176,33774.4,214.52,20/09/2006,Target (ATR),37755.52,3981.12,11.79,GFS (Smart ATR Stop)
04/10/2006,212.12,141,29908.92,198.02,17/10/2006,Stop Loss (ATR),27920.42,-1988.5,-6.65,GFS (Smart ATR Stop)
11/12/2006,278.9,86,23985.4,255.82,13/12/2006,Stop Loss (ATR),22000.4,-1985.0,-8.28,GFS (Smart ATR Stop)
14/12/2006,280.53,75,21039.75,333.84,25/01/2007,Target (ATR),25037.68,3997.93,19.0,GFS (Smart ATR Stop)
12/02/2007,333.7,73,24360.1,306.46,26/03/2007,Stop Loss (ATR),22371.37,-1988.73,-8.16,GFS (Smart ATR Stop)
28/03/2007,348.22,56,19500.32,419.14,20/07/2007,Target (ATR),23471.68,3971.36,20.37,GFS (Smart ATR Stop)
26/07/2007,425.41,75,31905.75,399.07,30/07/2007,Stop Loss (ATR),29930.25,-1975.5,-6.19,GFS (Smart ATR Stop)
31/07/2007,414.13,71,29403.23,386.06,10/08/2007,Stop Loss (ATR),27410.26,-1992.97,-6.78,GFS (Smart ATR Stop)
13/08/2007,391.38,69,27005.22,362.57,17/08/2007,Stop Loss (ATR),25017.33,-1987.89,-7.36,GFS (Smart ATR Stop)
18/10/2007,466.13,30,13983.9,390.76,02/11/2007,Stop Loss (ATR),11722.8,-2261.1,-16.17,GFS (Smart ATR Stop)
31/10/2014,366.65,97,35565.05,346.22,13/11/2014,Stop Loss (ATR),33582.92,-1982.13,-5.57,GFS (Smart ATR Stop)
28/11/2014,351.4,104,36545.6,332.28,09/12/2014,Stop Loss (ATR),34556.82,-1988.78,-5.44,GFS (Smart ATR Stop)
30/06/2015,386.09,105,40539.45,367.12,12/08/2015,Stop Loss (ATR),38547.9,-1991.55,-4.91,GFS (Smart ATR Stop)
31/08/2017,393.13,127,49927.51,377.42,05/09/2017,Stop Loss (ATR),47932.88,-1994.63,-4.0,GFS (Smart ATR Stop)
06/09/2017,369.96,116,42915.36,341.01,20/09/2017,Stop Loss (ATR),39557.16,-3358.2,-7.83,GFS (Smart ATR Stop)
30/11/2017,456.32,98,44719.36,496.77,20/12/2017,Target (ATR),48683.88,3964.52,8.87,GFS (Smart ATR Stop)
21/12/2017,481.73,62,29867.26,444.87,19/01/2018,Stop Loss (ATR),27581.94,-2285.32,-7.65,GFS (Smart ATR Stop)
22/01/2018,451.03,70,31572.1,422.71,24/01/2018,Stop Loss (ATR),29589.9,-1982.2,-6.28,GFS (Smart ATR Stop)
31/12/2019,455.8,78,35552.4,506.59,20/01/2020,Target (ATR),39513.69,3961.29,11.14,GFS (Smart ATR Stop)
28/01/2020,491.25,65,31931.25,552.14,06/02/2020,Target (ATR),35888.82,3957.57,12.39,GFS (Smart ATR Stop)
18/02/2020,548.25,59,32346.75,514.79,28/02/2020,Stop Loss (ATR),30372.36,-1974.39,-6.1,GFS (Smart ATR Stop)
02/03/2020,518.35,60,31101.0,478.5,12/03/2020,Stop Loss (ATR),28710.0,-2391.0,-7.69,GFS (Smart ATR Stop)
30/06/2020,559.85,54,30231.9,523.02,17/08/2020,Stop Loss (ATR),28243.16,-1988.74,-6.58,GFS (Smart ATR Stop)
28/09/2021,696.15,49,34111.35,777.71,24/11/2021,Target (ATR),38107.65,3996.3,11.72,GFS (Smart ATR Stop)
26/11/2021,738.75,48,35460.0,697.84,06/12/2021,Stop Loss (ATR),33496.11,-1963.89,-5.54,GFS (Smart ATR Stop)
07/12/2021,698.85,42,29351.7,652.29,20/12/2021,Stop Loss (ATR),27396.3,-1955.4,-6.66,GFS (Smart ATR Stop)
08/04/2022,762.1,56,42677.6,726.45,18/04/2022,Stop Loss (ATR),40681.2,-1996.4,-4.68,GFS (Smart ATR Stop)
19/04/2022,723.5,54,39069.0,686.74,13/05/2022,Stop Loss (ATR),37084.11,-1984.89,-5.08,GFS (Smart ATR Stop)
21/09/2022,780.2,51,39790.2,857.5,22/11/2022,Target (ATR),43732.5,3942.3,9.91,GFS (Smart ATR Stop)
23/11/2022,843.25,67,56497.75,813.67,21/12/2022,Stop Loss (ATR),54515.99,-1981.76,-3.51,GFS (Smart ATR Stop)
22/12/2022,816.6,69,56345.4,787.69,29/12/2022,Stop Loss (ATR),54350.31,-1995.09,-3.54,GFS (Smart ATR Stop)
02/06/2023,836.5,54,45171.0,910.27,13/09/2023,Target (ATR),49154.66,3983.66,8.82,GFS (Smart ATR Stop)
