ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
21/10/2003,15.56,1585,24662.6,13.28,14/11/2003,Stop Loss (ATR),21048.8,-3613.8,-14.65,GFS (Smart ATR Stop)
15/11/2003,14.97,1966,29431.02,17.0,10/12/2003,Target (ATR),33430.43,3999.41,13.59,GFS (Smart ATR Stop)
23/12/2003,17.63,1732,30535.16,19.94,15/01/2004,Target (ATR),34533.61,3998.45,13.09,GFS (Smart ATR Stop)
19/01/2004,18.5,1352,25012.0,17.02,23/01/2004,Stop Loss (ATR),23012.97,-1999.03,-7.99,GFS (Smart ATR Stop)
27/01/2004,18.28,1050,19194.0,16.38,04/02/2004,Stop Loss (ATR),17194.5,-1999.5,-10.42,GFS (Smart ATR Stop)
05/02/2004,17.84,762,13594.08,15.22,17/05/2004,Stop Loss (ATR),11596.55,-1997.53,-14.69,GFS (Smart ATR Stop)
24/09/2004,20.24,1540,31169.6,22.84,09/11/2004,Target (ATR),35169.2,3999.6,12.83,GFS (Smart ATR Stop)
01/12/2004,24.21,1167,28253.07,27.64,31/01/2005,Target (ATR),32250.88,3997.81,14.15,GFS (Smart ATR Stop)
14/02/2005,28.44,927,26363.88,26.28,23/03/2005,Stop Loss (ATR),24364.21,-1999.67,-7.58,GFS (Smart ATR Stop)
31/03/2005,27.25,870,23707.5,22.4,09/05/2005,Stop Loss (ATR),19488.0,-4219.5,-17.8,GFS (Smart ATR Stop)
22/06/2005,29.51,1155,34084.05,27.78,05/07/2005,Stop Loss (ATR),32084.25,-1999.8,-5.87,GFS (Smart ATR Stop)
13/07/2005,32.15,731,23501.65,38.25,08/08/2005,Target (ATR),27960.75,4459.1,18.97,GFS (Smart ATR Stop)
09/08/2005,32.72,506,16556.32,40.61,04/04/2006,Target (ATR),20549.38,3993.06,24.12,GFS (Smart ATR Stop)
12/04/2006,40.45,655,26494.75,37.4,28/04/2006,Stop Loss (ATR),24495.13,-1999.62,-7.55,GFS (Smart ATR Stop)
29/04/2006,41.29,618,25517.22,38.06,22/05/2006,Stop Loss (ATR),23519.31,-1997.91,-7.83,GFS (Smart ATR Stop)
08/09/2006,42.46,1005,42672.3,46.44,28/09/2006,Target (ATR),46669.33,3997.03,9.37,GFS (Smart ATR Stop)
04/10/2006,44.51,842,37477.42,49.26,13/10/2006,Target (ATR),41473.31,3995.89,10.66,GFS (Smart ATR Stop)
19/10/2006,48.18,569,27414.42,55.21,16/11/2006,Target (ATR),31413.68,3999.26,14.59,GFS (Smart ATR Stop)
22/11/2006,53.88,619,33351.72,50.65,11/12/2006,Stop Loss (ATR),31352.35,-1999.37,-5.99,GFS (Smart ATR Stop)
13/12/2006,51.96,487,25304.52,47.85,23/02/2007,Stop Loss (ATR),23305.04,-1999.48,-7.9,GFS (Smart ATR Stop)
08/06/2007,54.55,530,28911.5,62.1,24/07/2007,Target (ATR),32910.73,3999.23,13.83,GFS (Smart ATR Stop)
26/07/2007,60.87,504,30678.48,56.9,01/08/2007,Stop Loss (ATR),28679.04,-1999.44,-6.52,GFS (Smart ATR Stop)
02/08/2007,57.62,442,25468.04,53.1,17/08/2007,Stop Loss (ATR),23468.31,-1999.73,-7.85,GFS (Smart ATR Stop)
17/10/2007,73.14,315,23039.1,66.81,22/10/2007,Stop Loss (ATR),21045.15,-1993.95,-8.65,GFS (Smart ATR Stop)
23/10/2007,74.41,259,19272.19,89.84,02/11/2007,Target (ATR),23267.45,3995.26,20.73,GFS (Smart ATR Stop)
07/11/2007,80.85,200,16170.0,70.86,22/01/2008,Stop Loss (ATR),14172.57,-1997.43,-12.35,GFS (Smart ATR Stop)
03/08/2009,74.68,401,29946.68,69.69,07/08/2009,Stop Loss (ATR),27946.84,-1999.84,-6.68,GFS (Smart ATR Stop)
10/08/2009,68.77,411,28264.47,78.48,23/09/2009,Target (ATR),32255.87,3991.4,14.12,GFS (Smart ATR Stop)
30/11/2009,88.32,405,35769.6,83.39,17/12/2009,Stop Loss (ATR),33772.95,-1996.65,-5.58,GFS (Smart ATR Stop)
23/12/2009,84.52,505,42682.6,80.57,27/01/2010,Stop Loss (ATR),40686.41,-1996.19,-4.68,GFS (Smart ATR Stop)
08/04/2010,95.14,313,29778.82,107.88,18/08/2010,Target (ATR),33766.44,3987.62,13.39,GFS (Smart ATR Stop)
25/08/2010,109.62,440,48232.8,118.71,15/09/2010,Target (ATR),52231.77,3998.97,8.29,GFS (Smart ATR Stop)
05/10/2010,122.39,362,44305.18,116.87,20/10/2010,Stop Loss (ATR),42305.39,-1999.79,-4.51,GFS (Smart ATR Stop)
21/10/2010,118.26,302,35714.52,111.66,09/12/2010,Stop Loss (ATR),33720.46,-1994.06,-5.58,GFS (Smart ATR Stop)
10/12/2010,111.12,314,34891.68,104.76,14/01/2011,Stop Loss (ATR),32895.99,-1995.69,-5.72,GFS (Smart ATR Stop)
12/07/2011,123.99,417,51703.83,119.2,03/08/2011,Stop Loss (ATR),49704.61,-1999.22,-3.87,GFS (Smart ATR Stop)
04/08/2011,119.12,336,40024.32,112.5,09/08/2011,Stop Loss (ATR),37800.0,-2224.32,-5.56,GFS (Smart ATR Stop)
30/04/2012,135.63,369,50047.47,130.21,07/05/2012,Stop Loss (ATR),48048.02,-1999.45,-4.0,GFS (Smart ATR Stop)
08/05/2012,128.84,306,39425.04,122.31,16/05/2012,Stop Loss (ATR),37427.3,-1997.74,-5.07,GFS (Smart ATR Stop)
22/06/2012,136.09,281,38241.29,150.28,06/08/2012,Target (ATR),42229.08,3987.79,10.43,GFS (Smart ATR Stop)
08/08/2012,149.73,372,55699.56,144.36,05/10/2012,Stop Loss (ATR),53701.39,-1998.17,-3.59,GFS (Smart ATR Stop)
08/10/2012,155.18,192,29794.56,175.99,30/11/2012,Target (ATR),33789.81,3995.25,13.41,GFS (Smart ATR Stop)
04/12/2012,171.29,301,51558.29,164.66,16/01/2013,Stop Loss (ATR),49563.52,-1994.77,-3.87,GFS (Smart ATR Stop)
17/01/2013,166.7,408,68013.6,161.8,30/01/2013,Stop Loss (ATR),66016.15,-1997.45,-2.94,GFS (Smart ATR Stop)
31/01/2013,160.77,325,52250.25,154.63,01/03/2013,Stop Loss (ATR),50255.68,-1994.57,-3.82,GFS (Smart ATR Stop)
03/05/2013,170.24,254,43240.96,162.39,20/06/2013,Stop Loss (ATR),41248.15,-1992.81,-4.61,GFS (Smart ATR Stop)
23/05/2014,197.42,164,32376.88,185.25,30/05/2014,Stop Loss (ATR),30380.77,-1996.11,-6.17,GFS (Smart ATR Stop)
02/06/2014,204.85,134,27449.9,234.67,24/11/2014,Target (ATR),31446.16,3996.26,14.56,GFS (Smart ATR Stop)
01/12/2014,237.5,209,49637.5,256.55,20/01/2015,Target (ATR),53618.65,3981.15,8.02,GFS (Smart ATR Stop)
06/02/2015,263.38,142,37399.96,249.38,21/04/2015,Stop Loss (ATR),35412.37,-1987.59,-5.31,GFS (Smart ATR Stop)
22/04/2015,253.28,202,51162.56,243.42,06/05/2015,Stop Loss (ATR),49171.13,-1991.43,-3.89,GFS (Smart ATR Stop)
05/06/2015,252.94,203,51346.82,272.61,07/07/2015,Target (ATR),55340.12,3993.3,7.78,GFS (Smart ATR Stop)
08/07/2015,267.22,185,49435.7,256.43,24/08/2015,Stop Loss (ATR),47438.76,-1996.94,-4.04,GFS (Smart ATR Stop)
26/10/2015,275.38,250,68845.0,267.4,05/11/2015,Stop Loss (ATR),66849.64,-1995.36,-2.9,GFS (Smart ATR Stop)
01/06/2016,293.79,222,65221.38,311.8,25/07/2016,Target (ATR),69220.55,3999.17,6.13,GFS (Smart ATR Stop)
03/08/2016,310.12,212,65745.44,328.92,22/09/2016,Target (ATR),69731.04,3985.6,6.06,GFS (Smart ATR Stop)
26/09/2016,324.04,236,76473.44,315.58,13/10/2016,Stop Loss (ATR),74477.89,-1995.55,-2.61,GFS (Smart ATR Stop)
14/10/2016,315.45,231,72868.95,306.8,27/10/2016,Stop Loss (ATR),70869.81,-1999.14,-2.74,GFS (Smart ATR Stop)
28/10/2016,314.77,188,59176.76,300.0,09/11/2016,Stop Loss (ATR),56400.0,-2776.76,-4.69,GFS (Smart ATR Stop)
27/03/2017,352.47,274,96576.78,367.02,30/03/2017,Target (ATR),100562.31,3985.53,4.13,GFS (Smart ATR Stop)
31/03/2017,360.64,218,78619.52,378.96,24/04/2017,Target (ATR),82613.28,3993.76,5.08,GFS (Smart ATR Stop)
27/06/2017,416.92,177,73794.84,439.75,25/07/2017,Target (ATR),77835.75,4040.91,5.48,GFS (Smart ATR Stop)
09/08/2017,441.12,145,63962.4,468.63,18/10/2017,Target (ATR),67951.97,3989.57,6.24,GFS (Smart ATR Stop)
19/10/2017,462.1,165,76246.5,450.02,25/10/2017,Stop Loss (ATR),74252.83,-1993.67,-2.61,GFS (Smart ATR Stop)
26/10/2017,448.84,123,55207.32,481.11,18/01/2018,Target (ATR),59176.71,3969.39,7.19,GFS (Smart ATR Stop)
02/02/2018,487.0,124,60388.0,465.0,06/02/2018,Stop Loss (ATR),57660.0,-2728.0,-4.52,GFS (Smart ATR Stop)
07/02/2018,468.2,105,49161.0,506.13,14/05/2018,Target (ATR),53144.1,3983.1,8.1,GFS (Smart ATR Stop)
18/05/2018,503.04,147,73946.88,489.49,24/05/2018,Stop Loss (ATR),71955.03,-1991.85,-2.69,GFS (Smart ATR Stop)
25/05/2018,502.18,137,68798.66,531.19,31/05/2018,Target (ATR),72772.44,3973.78,5.78,GFS (Smart ATR Stop)
04/06/2018,511.55,90,46039.5,489.35,19/09/2018,Stop Loss (ATR),44041.24,-1998.26,-4.34,GFS (Smart ATR Stop)
31/12/2018,530.43,104,55164.72,511.21,30/01/2019,Stop Loss (ATR),53166.29,-1998.43,-3.62,GFS (Smart ATR Stop)
31/01/2019,519.99,142,73838.58,548.07,13/03/2019,Target (ATR),77825.53,3986.95,5.4,GFS (Smart ATR Stop)
04/04/2019,570.99,112,63950.88,606.48,20/05/2019,Target (ATR),67926.24,3975.36,6.22,GFS (Smart ATR Stop)
23/05/2019,583.03,83,48391.49,559.21,29/07/2019,Stop Loss (ATR),46414.79,-1976.7,-4.08,GFS (Smart ATR Stop)
04/10/2019,594.85,52,30932.2,556.7,06/03/2020,Stop Loss (ATR),28948.4,-1983.8,-6.41,GFS (Smart ATR Stop)
31/12/2020,718.15,68,48834.2,688.91,28/01/2021,Stop Loss (ATR),46846.17,-1988.03,-4.07,GFS (Smart ATR Stop)
29/01/2021,695.25,51,35457.75,772.38,02/02/2021,Target (ATR),39391.31,3933.56,11.09,GFS (Smart ATR Stop)
12/02/2021,790.98,37,29266.26,737.97,19/03/2021,Stop Loss (ATR),27304.89,-1961.37,-6.7,GFS (Smart ATR Stop)
22/03/2021,734.58,50,36729.0,695.03,12/04/2021,Stop Loss (ATR),34751.5,-1977.5,-5.38,GFS (Smart ATR Stop)
30/09/2021,797.48,65,51836.2,858.2,18/10/2021,Target (ATR),55782.81,3946.61,7.61,GFS (Smart ATR Stop)
