ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
30/09/2003,82.8,325,26910.0,95.1,09/10/2003,Target (ATR),30907.5,3997.5,14.86,GFS (Smart ATR Stop)
23/10/2003,91.42,206,18832.52,110.8,04/11/2003,Target (ATR),22824.21,3991.69,21.2,GFS (Smart ATR Stop)
14/11/2003,106.17,177,18792.09,128.74,31/12/2003,Target (ATR),22787.23,3995.14,21.26,GFS (Smart ATR Stop)
12/01/2004,128.07,186,23821.02,117.35,22/01/2004,Stop Loss (ATR),21826.57,-1994.45,-8.37,GFS (Smart ATR Stop)
20/02/2004,119.74,206,24666.44,110.04,27/02/2004,Stop Loss (ATR),22668.24,-1998.2,-8.1,GFS (Smart ATR Stop)
01/03/2004,114.52,212,24278.24,105.12,29/04/2004,Stop Loss (ATR),22285.44,-1992.8,-8.21,GFS (Smart ATR Stop)
05/01/2005,122.95,234,28770.3,114.43,11/01/2005,Stop Loss (ATR),26775.62,-1994.68,-6.93,GFS (Smart ATR Stop)
30/09/2005,132.3,170,22491.0,120.54,14/10/2005,Stop Loss (ATR),20491.56,-1999.44,-8.89,GFS (Smart ATR Stop)
17/03/2006,143.55,175,25121.25,166.3,30/03/2006,Target (ATR),29103.25,3982.0,15.85,GFS (Smart ATR Stop)
08/04/2010,176.5,163,28769.5,164.29,04/05/2010,Stop Loss (ATR),26779.74,-1989.76,-6.92,GFS (Smart ATR Stop)
10/05/2010,175.45,148,25966.6,161.8,17/05/2010,Stop Loss (ATR),23946.4,-2020.2,-7.78,GFS (Smart ATR Stop)
01/12/2010,213.7,88,18805.6,191.11,21/03/2011,Stop Loss (ATR),16818.06,-1987.54,-10.57,GFS (Smart ATR Stop)
01/08/2014,184.3,127,23406.1,168.57,25/08/2014,Stop Loss (ATR),21408.57,-1997.53,-8.53,GFS (Smart ATR Stop)
01/09/2014,176.15,124,21842.6,160.08,16/09/2014,Stop Loss (ATR),19849.74,-1992.86,-9.12,GFS (Smart ATR Stop)
30/09/2016,152.7,153,23363.1,178.84,15/11/2016,Target (ATR),27362.96,3999.86,17.12,GFS (Smart ATR Stop)
16/11/2016,162.8,114,18559.2,197.87,01/02/2017,Target (ATR),22557.34,3998.14,21.54,GFS (Smart ATR Stop)
28/02/2017,184.35,175,32261.25,207.18,30/05/2017,Target (ATR),36256.25,3995.0,12.38,GFS (Smart ATR Stop)
16/06/2017,195.25,195,38073.75,215.69,24/07/2017,Target (ATR),42060.11,3986.36,10.47,GFS (Smart ATR Stop)
28/07/2017,215.85,190,41011.5,236.86,08/08/2017,Target (ATR),45004.21,3992.71,9.74,GFS (Smart ATR Stop)
