ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
17/10/2003,40.17,674,27074.58,46.1,03/11/2003,Target (ATR),31070.44,3995.86,14.76,GFS (Smart ATR Stop)
06/11/2003,43.72,521,22778.12,51.39,03/12/2003,Target (ATR),26776.42,3998.3,17.55,GFS (Smart ATR Stop)
05/12/2003,47.31,408,19302.48,57.11,05/01/2004,Target (ATR),23299.71,3997.23,20.71,GFS (Smart ATR Stop)
07/01/2004,55.28,577,31896.56,51.82,16/01/2004,Stop Loss (ATR),29897.67,-1998.89,-6.27,GFS (Smart ATR Stop)
19/01/2004,54.56,460,25097.6,63.25,10/02/2004,Target (ATR),29095.66,3998.06,15.93,GFS (Smart ATR Stop)
11/02/2004,57.84,305,17641.2,51.29,23/02/2004,Stop Loss (ATR),15644.76,-1996.44,-11.32,GFS (Smart ATR Stop)
04/03/2004,52.53,447,23480.91,48.07,14/05/2004,Stop Loss (ATR),21485.37,-1995.54,-8.5,GFS (Smart ATR Stop)
01/10/2004,52.6,689,36241.4,58.4,11/11/2004,Target (ATR),40239.57,3998.17,11.03,GFS (Smart ATR Stop)
22/11/2004,58.7,603,35396.1,65.47,06/12/2004,Target (ATR),39478.41,4082.31,11.53,GFS (Smart ATR Stop)
22/12/2004,65.63,565,37080.95,62.1,12/01/2005,Stop Loss (ATR),35084.08,-1996.87,-5.39,GFS (Smart ATR Stop)
13/01/2005,64.37,447,28773.39,59.9,20/01/2005,Stop Loss (ATR),26775.94,-1997.45,-6.94,GFS (Smart ATR Stop)
25/01/2005,62.46,366,22860.36,73.37,07/03/2005,Target (ATR),26853.94,3993.58,17.47,GFS (Smart ATR Stop)
09/03/2005,71.0,479,34009.0,66.65,14/03/2005,Stop Loss (ATR),31925.35,-2083.65,-6.13,GFS (Smart ATR Stop)
15/03/2005,69.56,392,27267.52,79.75,06/07/2005,Target (ATR),31260.32,3992.8,14.64,GFS (Smart ATR Stop)
07/07/2005,76.73,446,34221.58,85.7,25/07/2005,Target (ATR),38220.29,3998.71,11.68,GFS (Smart ATR Stop)
05/08/2005,90.94,228,20734.32,108.48,28/09/2005,Target (ATR),24734.09,3999.77,19.29,GFS (Smart ATR Stop)
05/10/2005,102.2,212,21666.4,92.79,14/10/2005,Stop Loss (ATR),19671.18,-1995.22,-9.21,GFS (Smart ATR Stop)
26/11/2005,98.3,376,36960.8,108.92,02/01/2006,Target (ATR),40952.85,3992.05,10.8,GFS (Smart ATR Stop)
05/01/2006,109.92,259,28469.28,102.2,17/01/2006,Stop Loss (ATR),26470.17,-1999.11,-7.02,GFS (Smart ATR Stop)
