ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
01/10/2003,48.82,591,28852.62,55.79,16/10/2003,Target (ATR),32971.89,4119.27,14.28,GFS (Smart ATR Stop)
21/10/2003,52.46,514,26964.44,60.23,29/12/2003,Target (ATR),30957.49,3993.05,14.81,GFS (Smart ATR Stop)
12/01/2004,64.01,369,23619.69,58.59,18/03/2004,Stop Loss (ATR),21620.76,-1998.93,-8.46,GFS (Smart ATR Stop)
16/04/2004,63.43,432,27401.76,58.81,30/04/2004,Stop Loss (ATR),25405.92,-1995.84,-7.28,GFS (Smart ATR Stop)
30/11/2004,57.93,590,34178.7,54.55,13/12/2004,Stop Loss (ATR),32181.97,-1996.73,-5.84,GFS (Smart ATR Stop)
14/03/2005,64.87,588,38143.56,61.47,22/03/2005,Stop Loss (ATR),36146.88,-1996.68,-5.23,GFS (Smart ATR Stop)
23/03/2005,61.93,497,30779.21,57.91,18/04/2005,Stop Loss (ATR),28781.27,-1997.94,-6.49,GFS (Smart ATR Stop)
07/07/2005,68.79,422,29029.38,78.26,27/07/2005,Target (ATR),33026.32,3996.94,13.77,GFS (Smart ATR Stop)
08/08/2005,79.7,339,27018.3,91.47,19/09/2005,Target (ATR),31007.85,3989.55,14.77,GFS (Smart ATR Stop)
22/09/2005,84.53,395,33389.35,94.64,24/11/2005,Target (ATR),37383.36,3994.01,11.96,GFS (Smart ATR Stop)
30/11/2005,93.3,406,37879.8,103.14,03/01/2006,Target (ATR),41873.68,3993.88,10.54,GFS (Smart ATR Stop)
09/01/2006,101.98,439,44769.22,96.71,12/01/2006,Stop Loss (ATR),42455.69,-2313.53,-5.17,GFS (Smart ATR Stop)
13/01/2006,99.18,412,40862.16,65.0,18/01/2006,Stop Loss (ATR),26780.0,-14082.16,-34.46,GFS (Smart ATR Stop)
09/06/2006,103.39,167,17266.13,127.3,29/08/2006,Target (ATR),21258.86,3992.73,23.12,GFS (Smart ATR Stop)
11/09/2006,121.87,286,34854.82,135.86,16/10/2006,Target (ATR),38854.73,3999.91,11.48,GFS (Smart ATR Stop)
19/10/2006,134.13,407,54590.91,143.94,02/11/2006,Target (ATR),58584.16,3993.25,7.31,GFS (Smart ATR Stop)
08/11/2006,140.31,284,39848.04,133.27,12/12/2006,Stop Loss (ATR),37848.27,-1999.77,-5.02,GFS (Smart ATR Stop)
