ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
31/12/2002,26.57,983,26118.31,30.64,21/05/2003,Target (ATR),30117.72,3999.41,15.31,GFS (Smart ATR Stop)
08/07/2003,36.18,998,36107.64,40.19,17/07/2003,Target (ATR),40105.34,3997.7,11.07,GFS (Smart ATR Stop)
22/07/2003,37.06,893,33094.58,41.53,21/08/2003,Target (ATR),37090.12,3995.54,12.07,GFS (Smart ATR Stop)
22/08/2003,40.83,799,32623.17,38.33,18/09/2003,Stop Loss (ATR),30624.53,-1998.64,-6.13,GFS (Smart ATR Stop)
23/09/2003,39.06,615,24021.9,45.56,10/10/2003,Target (ATR),28019.4,3997.5,16.64,GFS (Smart ATR Stop)
22/10/2003,46.05,522,24038.1,42.22,20/11/2003,Stop Loss (ATR),22038.84,-1999.26,-8.32,GFS (Smart ATR Stop)
25/11/2003,42.6,787,33526.2,47.68,22/12/2003,Target (ATR),37524.16,3997.96,11.92,GFS (Smart ATR Stop)
21/01/2004,55.94,345,19299.3,49.23,24/03/2004,Stop Loss (ATR),16984.35,-2314.95,-11.99,GFS (Smart ATR Stop)
25/03/2004,52.98,490,25960.2,48.41,30/03/2004,Stop Loss (ATR),23720.9,-2239.3,-8.63,GFS (Smart ATR Stop)
19/04/2004,59.12,417,24653.04,54.33,27/04/2004,Stop Loss (ATR),22656.8,-1996.24,-8.1,GFS (Smart ATR Stop)
28/04/2004,60.05,407,24440.35,55.14,10/05/2004,Stop Loss (ATR),22440.82,-1999.53,-8.18,GFS (Smart ATR Stop)
11/05/2004,58.0,327,18966.0,51.88,14/05/2004,Stop Loss (ATR),16966.16,-1999.84,-10.54,GFS (Smart ATR Stop)
05/01/2005,58.04,562,32618.48,52.83,12/01/2005,Stop Loss (ATR),29690.46,-2928.02,-8.98,GFS (Smart ATR Stop)
13/01/2005,55.75,437,24362.75,65.33,25/02/2005,Target (ATR),28549.21,4186.46,17.18,GFS (Smart ATR Stop)
17/03/2005,68.26,564,38498.64,64.72,22/03/2005,Stop Loss (ATR),36499.66,-1998.98,-5.19,GFS (Smart ATR Stop)
08/07/2005,67.46,554,37372.84,74.67,29/07/2005,Target (ATR),41367.97,3995.13,10.69,GFS (Smart ATR Stop)
08/08/2005,73.22,491,35951.02,81.35,12/09/2005,Target (ATR),39943.55,3992.53,11.11,GFS (Smart ATR Stop)
06/10/2005,86.99,351,30533.49,81.3,20/10/2005,Stop Loss (ATR),28535.8,-1997.69,-6.54,GFS (Smart ATR Stop)
21/10/2005,83.35,358,29839.3,77.77,27/10/2005,Stop Loss (ATR),27843.19,-1996.11,-6.69,GFS (Smart ATR Stop)
08/11/2005,78.31,321,25137.51,90.75,14/03/2006,Target (ATR),29129.83,3992.32,15.88,GFS (Smart ATR Stop)
