ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
21/11/2005,189.83,232,44040.56,207.02,09/12/2005,Target (ATR),48029.63,3989.07,9.06,GFS (Smart ATR Stop)
22/12/2005,210.59,178,37485.02,233.04,17/03/2006,Target (ATR),41480.87,3995.85,10.66,GFS (Smart ATR Stop)
31/03/2006,239.44,164,39268.16,227.31,12/04/2006,Stop Loss (ATR),37278.14,-1990.02,-5.07,GFS (Smart ATR Stop)
13/04/2006,224.64,138,31000.32,253.61,18/04/2006,Target (ATR),34997.98,3997.66,12.9,GFS (Smart ATR Stop)
20/04/2006,248.74,104,25868.96,229.68,28/04/2006,Stop Loss (ATR),23887.17,-1981.79,-7.66,GFS (Smart ATR Stop)
29/04/2006,247.42,99,24494.58,227.32,22/05/2006,Stop Loss (ATR),22504.26,-1990.32,-8.13,GFS (Smart ATR Stop)
25/05/2006,234.62,86,20177.32,211.47,01/06/2006,Stop Loss (ATR),18186.17,-1991.15,-9.87,GFS (Smart ATR Stop)
25/08/2006,243.6,212,51643.2,262.39,21/09/2006,Target (ATR),55625.77,3982.57,7.71,GFS (Smart ATR Stop)
22/09/2006,259.89,145,37684.05,246.16,04/10/2006,Stop Loss (ATR),35692.99,-1991.06,-5.28,GFS (Smart ATR Stop)
05/10/2006,249.94,150,37491.0,276.53,13/10/2006,Target (ATR),41480.14,3989.14,10.64,GFS (Smart ATR Stop)
20/10/2006,272.4,121,32960.4,305.35,07/12/2006,Target (ATR),36946.83,3986.43,12.09,GFS (Smart ATR Stop)
08/12/2006,294.23,133,39132.59,279.24,12/12/2006,Stop Loss (ATR),37138.92,-1993.67,-5.09,GFS (Smart ATR Stop)
13/12/2006,280.21,110,30823.1,316.45,03/01/2007,Target (ATR),34809.19,3986.09,12.93,GFS (Smart ATR Stop)
08/01/2007,310.95,99,30784.05,290.9,05/03/2007,Stop Loss (ATR),28799.38,-1984.67,-6.45,GFS (Smart ATR Stop)
08/03/2007,304.6,68,20712.8,275.41,05/07/2007,Stop Loss (ATR),18727.59,-1985.21,-9.58,GFS (Smart ATR Stop)
31/08/2009,263.53,106,27934.18,301.13,22/09/2009,Target (ATR),31919.48,3985.3,14.27,GFS (Smart ATR Stop)
25/09/2009,293.7,91,26726.7,337.65,16/11/2009,Target (ATR),30726.54,3999.84,14.97,GFS (Smart ATR Stop)
26/11/2009,343.95,94,32331.3,386.15,13/01/2010,Target (ATR),36298.1,3966.8,12.27,GFS (Smart ATR Stop)
19/01/2010,390.35,76,29666.6,364.09,28/01/2010,Stop Loss (ATR),27671.06,-1995.54,-6.73,GFS (Smart ATR Stop)
29/01/2010,368.1,69,25398.9,427.5,27/07/2010,Target (ATR),29497.5,4098.6,16.14,GFS (Smart ATR Stop)
30/07/2010,419.9,117,49128.3,453.86,15/09/2010,Target (ATR),53101.62,3973.32,8.09,GFS (Smart ATR Stop)
16/09/2010,447.7,88,39397.6,492.82,13/10/2010,Target (ATR),43368.41,3970.81,10.08,GFS (Smart ATR Stop)
15/10/2010,475.15,62,29459.3,539.18,03/11/2010,Target (ATR),33429.43,3970.13,13.48,GFS (Smart ATR Stop)
11/11/2010,532.38,79,42058.02,507.15,19/11/2010,Stop Loss (ATR),40064.51,-1993.51,-4.74,GFS (Smart ATR Stop)
22/11/2010,519.55,74,38446.7,572.9,20/12/2010,Target (ATR),42394.92,3948.22,10.27,GFS (Smart ATR Stop)
23/12/2010,570.0,70,39900.0,541.53,10/02/2011,Stop Loss (ATR),37907.4,-1992.6,-4.99,GFS (Smart ATR Stop)
14/02/2011,556.15,50,27807.5,516.43,05/08/2011,Stop Loss (ATR),25821.36,-1986.14,-7.14,GFS (Smart ATR Stop)
28/02/2012,613.28,65,39863.2,582.78,14/03/2012,Stop Loss (ATR),37880.98,-1982.22,-4.97,GFS (Smart ATR Stop)
11/05/2012,615.38,50,30769.0,695.0,07/09/2012,Target (ATR),34750.0,3981.0,12.94,GFS (Smart ATR Stop)
17/09/2012,671.05,60,40263.0,638.09,27/09/2012,Stop Loss (ATR),38285.57,-1977.43,-4.91,GFS (Smart ATR Stop)
25/01/2013,670.25,57,38204.25,739.24,26/02/2013,Target (ATR),42136.76,3932.51,10.29,GFS (Smart ATR Stop)
19/03/2013,773.38,74,57230.12,746.48,05/04/2013,Stop Loss (ATR),55239.73,-1990.39,-3.48,GFS (Smart ATR Stop)
08/04/2013,740.38,66,48865.08,710.49,25/04/2013,Stop Loss (ATR),46892.43,-1972.65,-4.04,GFS (Smart ATR Stop)
11/08/2017,1248.03,42,52417.26,1341.78,07/11/2017,Target (ATR),56354.82,3937.56,7.51,GFS (Smart ATR Stop)
14/11/2017,1357.3,37,50220.1,1303.29,04/12/2017,Stop Loss (ATR),48221.78,-1998.32,-3.98,GFS (Smart ATR Stop)
05/12/2017,1317.78,50,65889.0,1277.83,14/12/2017,Stop Loss (ATR),63891.36,-1997.64,-3.03,GFS (Smart ATR Stop)
29/12/2017,1350.6,33,44569.8,1470.67,19/01/2018,Target (ATR),48532.16,3962.36,8.89,GFS (Smart ATR Stop)
05/02/2018,1551.6,20,31032.0,1452.29,09/02/2018,Stop Loss (ATR),29045.77,-1986.23,-6.4,GFS (Smart ATR Stop)
12/02/2018,1483.65,21,31156.65,1391.93,26/03/2018,Stop Loss (ATR),29230.5,-1926.15,-6.18,GFS (Smart ATR Stop)
07/05/2018,1710.48,21,35920.08,1899.42,06/07/2018,Target (ATR),39887.88,3967.8,11.05,GFS (Smart ATR Stop)
09/07/2018,1883.0,34,64022.0,1998.24,17/07/2018,Target (ATR),67940.26,3918.26,6.12,GFS (Smart ATR Stop)
25/07/2018,1981.5,27,53500.5,2127.0,24/09/2018,Target (ATR),57429.0,3928.5,7.34,GFS (Smart ATR Stop)
26/09/2018,2142.15,23,49269.45,2057.57,04/10/2018,Stop Loss (ATR),47324.14,-1945.31,-3.95,GFS (Smart ATR Stop)
05/10/2018,2102.65,15,31539.75,1970.07,11/10/2018,Stop Loss (ATR),29551.07,-1988.68,-6.31,GFS (Smart ATR Stop)
15/02/2019,2029.7,25,50742.5,1950.91,19/02/2019,Stop Loss (ATR),48772.68,-1969.82,-3.88,GFS (Smart ATR Stop)
20/02/2019,1914.75,21,40209.75,2096.68,09/04/2019,Target (ATR),44030.25,3820.5,9.5,GFS (Smart ATR Stop)
03/05/2019,2132.0,20,42640.0,2034.34,24/05/2019,Stop Loss (ATR),40686.71,-1953.29,-4.58,GFS (Smart ATR Stop)
07/06/2019,2181.75,18,39271.5,2073.1,10/07/2019,Stop Loss (ATR),37315.8,-1955.7,-4.98,GFS (Smart ATR Stop)
23/09/2020,2467.45,15,37011.75,2336.22,24/09/2020,Stop Loss (ATR),35043.32,-1968.43,-5.32,GFS (Smart ATR Stop)
25/09/2020,2422.3,13,31489.9,2727.94,05/10/2020,Target (ATR),35463.26,3973.36,12.62,GFS (Smart ATR Stop)
31/12/2020,2862.75,18,51529.5,3076.85,05/01/2021,Target (ATR),55383.3,3853.8,7.48,GFS (Smart ATR Stop)
28/01/2021,3196.55,12,38358.6,3041.16,18/02/2021,Stop Loss (ATR),36493.97,-1864.63,-4.86,GFS (Smart ATR Stop)
19/02/2021,3071.85,14,43005.9,2931.92,24/02/2021,Stop Loss (ATR),41046.9,-1959.0,-4.56,GFS (Smart ATR Stop)
25/02/2021,2985.05,13,38805.65,3286.02,08/04/2021,Target (ATR),42718.28,3912.63,10.08,GFS (Smart ATR Stop)
12/04/2021,3246.55,13,42205.15,3093.06,13/04/2021,Stop Loss (ATR),40209.84,-1995.31,-4.73,GFS (Smart ATR Stop)
15/04/2021,3218.95,11,35408.45,3043.13,30/04/2021,Stop Loss (ATR),33474.41,-1934.04,-5.46,GFS (Smart ATR Stop)
21/06/2021,3273.1,19,62188.9,3172.19,20/07/2021,Stop Loss (ATR),60271.53,-1917.37,-3.08,GFS (Smart ATR Stop)
17/09/2021,3827.85,11,42106.35,3657.67,12/10/2021,Stop Loss (ATR),40234.39,-1871.96,-4.45,GFS (Smart ATR Stop)
13/10/2021,3655.2,10,36552.0,3466.96,25/10/2021,Stop Loss (ATR),34669.64,-1882.36,-5.15,GFS (Smart ATR Stop)
19/01/2022,3914.65,12,46975.8,3751.74,24/01/2022,Stop Loss (ATR),45020.83,-1954.97,-4.16,GFS (Smart ATR Stop)
25/01/2022,3769.9,11,41468.9,3590.41,22/02/2022,Stop Loss (ATR),39494.48,-1974.42,-4.76,GFS (Smart ATR Stop)
31/01/2024,3815.95,13,49607.35,4118.92,06/02/2024,Target (ATR),53545.98,3938.63,7.94,GFS (Smart ATR Stop)
19/02/2024,4103.8,11,45141.8,3897.0,22/03/2024,Stop Loss (ATR),42867.0,-2274.8,-5.04,GFS (Smart ATR Stop)
26/03/2024,3877.5,9,34897.5,3674.96,31/05/2024,Stop Loss (ATR),33074.68,-1822.82,-5.22,GFS (Smart ATR Stop)
02/08/2024,4283.05,12,51396.6,4119.74,05/08/2024,Stop Loss (ATR),49436.91,-1959.69,-3.81,GFS (Smart ATR Stop)
06/08/2024,4171.2,10,41712.0,4538.71,20/08/2024,Target (ATR),45387.14,3675.14,8.81,GFS (Smart ATR Stop)
23/08/2024,4463.9,11,49102.9,4290.02,19/09/2024,Stop Loss (ATR),47190.24,-1912.66,-3.9,GFS (Smart ATR Stop)
20/09/2024,4284.9,11,47133.9,4114.94,11/10/2024,Stop Loss (ATR),45264.29,-1869.61,-3.97,GFS (Smart ATR Stop)
16/12/2024,4415.2,12,52982.4,4260.84,20/12/2024,Stop Loss (ATR),51130.11,-1852.29,-3.5,GFS (Smart ATR Stop)
23/12/2024,4158.3,10,41583.0,3969.67,11/02/2025,Stop Loss (ATR),39696.71,-1886.29,-4.54,GFS (Smart ATR Stop)
