ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
31/12/2002,26.57,983,26118.31,32.67,28/05/2003,Target (6x ATR),32117.42,5999.11,22.97,GFS (ATR 1:3 Ratio)
08/07/2003,36.18,998,36107.64,42.19,27/08/2003,Target (6x ATR),42104.19,5996.55,16.61,GFS (ATR 1:3 Ratio)
28/08/2003,41.79,729,30464.91,39.05,16/09/2003,Stop Loss (2x ATR),28465.37,-1999.54,-6.56,GFS (ATR 1:3 Ratio)
17/09/2003,40.09,697,27942.73,37.22,23/09/2003,Stop Loss (2x ATR),25945.33,-1997.4,-7.15,GFS (ATR 1:3 Ratio)
24/09/2003,39.83,614,24455.62,51.95,29/12/2003,Target (6x ATR),31897.3,7441.68,30.43,GFS (ATR 1:3 Ratio)
21/01/2004,55.94,345,19299.3,49.23,24/03/2004,Stop Loss (2x ATR),16984.35,-2314.95,-11.99,GFS (ATR 1:3 Ratio)
25/03/2004,52.98,490,25960.2,48.41,30/03/2004,Stop Loss (2x ATR),23720.9,-2239.3,-8.63,GFS (ATR 1:3 Ratio)
19/04/2004,59.12,417,24653.04,54.33,27/04/2004,Stop Loss (2x ATR),22656.8,-1996.24,-8.1,GFS (ATR 1:3 Ratio)
28/04/2004,60.05,407,24440.35,55.14,10/05/2004,Stop Loss (2x ATR),22440.82,-1999.53,-8.18,GFS (ATR 1:3 Ratio)
11/05/2004,58.0,327,18966.0,51.88,14/05/2004,Stop Loss (2x ATR),16966.16,-1999.84,-10.54,GFS (ATR 1:3 Ratio)
05/01/2005,58.04,562,32618.48,52.83,12/01/2005,Stop Loss (2x ATR),29690.46,-2928.02,-8.98,GFS (ATR 1:3 Ratio)
13/01/2005,55.75,437,24362.75,69.47,10/03/2005,Target (6x ATR),30357.77,5995.02,24.61,GFS (ATR 1:3 Ratio)
17/03/2005,68.26,564,38498.64,64.72,22/03/2005,Stop Loss (2x ATR),36499.66,-1998.98,-5.19,GFS (ATR 1:3 Ratio)
08/07/2005,67.46,554,37372.84,78.28,06/09/2005,Target (6x ATR),43365.54,5992.7,16.03,GFS (ATR 1:3 Ratio)
06/10/2005,86.99,351,30533.49,81.3,20/10/2005,Stop Loss (2x ATR),28535.8,-1997.69,-6.54,GFS (ATR 1:3 Ratio)
21/10/2005,83.35,358,29839.3,77.77,27/10/2005,Stop Loss (2x ATR),27843.19,-1996.11,-6.69,GFS (ATR 1:3 Ratio)
08/11/2005,78.31,321,25137.51,72.09,08/06/2006,Stop Loss (2x ATR),23141.35,-1996.16,-7.94,GFS (ATR 1:3 Ratio)
11/12/2006,117.16,187,21908.92,106.52,10/01/2007,Stop Loss (2x ATR),19918.44,-1990.48,-9.09,GFS (ATR 1:3 Ratio)
12/01/2007,115.19,233,26839.27,106.64,31/01/2007,Stop Loss (2x ATR),24846.79,-1992.48,-7.42,GFS (ATR 1:3 Ratio)
01/02/2007,113.08,234,26460.72,104.56,14/02/2007,Stop Loss (2x ATR),24468.04,-1992.68,-7.53,GFS (ATR 1:3 Ratio)
31/07/2007,152.64,205,31291.2,142.9,16/08/2007,Stop Loss (2x ATR),29294.5,-1996.7,-6.38,GFS (ATR 1:3 Ratio)
17/08/2007,142.8,138,19706.4,185.98,16/10/2007,Target (6x ATR),25665.04,5958.64,30.24,GFS (ATR 1:3 Ratio)
17/10/2007,171.9,95,16330.5,150.89,19/10/2007,Stop Loss (2x ATR),14334.28,-1996.22,-12.22,GFS (ATR 1:3 Ratio)
23/10/2007,170.64,79,13480.56,145.51,29/05/2008,Stop Loss (2x ATR),11495.18,-1985.38,-14.73,GFS (ATR 1:3 Ratio)
30/06/2009,174.53,148,25830.44,161.03,08/07/2009,Stop Loss (2x ATR),23832.23,-1998.21,-7.74,GFS (ATR 1:3 Ratio)
15/07/2009,163.7,132,21608.4,208.83,16/09/2009,Target (6x ATR),27565.94,5957.54,27.57,GFS (ATR 1:3 Ratio)
30/11/2009,223.96,137,30682.52,209.4,22/01/2010,Stop Loss (2x ATR),28688.19,-1994.33,-6.5,GFS (ATR 1:3 Ratio)
11/06/2010,233.99,120,28078.8,283.88,13/08/2010,Target (6x ATR),34065.6,5986.8,21.32,GFS (ATR 1:3 Ratio)
27/08/2010,279.44,141,39401.04,321.77,29/09/2010,Target (6x ATR),45370.17,5969.13,15.15,GFS (ATR 1:3 Ratio)
14/10/2010,326.15,172,56097.8,314.58,18/10/2010,Stop Loss (2x ATR),54108.5,-1989.3,-3.55,GFS (ATR 1:3 Ratio)
19/10/2010,311.66,144,44879.04,297.79,18/11/2010,Stop Loss (2x ATR),42881.14,-1997.9,-4.45,GFS (ATR 1:3 Ratio)
30/06/2014,268.63,139,37339.57,254.29,10/07/2014,Stop Loss (2x ATR),35346.71,-1992.86,-5.34,GFS (ATR 1:3 Ratio)
15/07/2014,251.76,129,32477.04,236.31,13/08/2014,Stop Loss (2x ATR),30484.36,-1992.68,-6.14,GFS (ATR 1:3 Ratio)
19/09/2014,256.8,187,48021.6,246.14,24/09/2014,Stop Loss (2x ATR),46027.38,-1994.22,-4.15,GFS (ATR 1:3 Ratio)
31/12/2014,311.85,124,38669.4,295.72,07/01/2015,Stop Loss (2x ATR),36669.46,-1999.94,-5.17,GFS (ATR 1:3 Ratio)
08/01/2015,304.85,172,52434.2,293.24,04/02/2015,Stop Loss (2x ATR),50436.54,-1997.66,-3.81,GFS (ATR 1:3 Ratio)
31/05/2017,288.3,126,36325.8,272.48,29/06/2017,Stop Loss (2x ATR),34332.3,-1993.5,-5.49,GFS (ATR 1:3 Ratio)
31/03/2021,364.3,82,29872.6,340.04,12/04/2021,Stop Loss (2x ATR),27882.93,-1989.67,-6.66,GFS (ATR 1:3 Ratio)
15/04/2021,342.7,75,25702.5,422.69,27/05/2021,Target (6x ATR),31701.96,5999.46,23.34,GFS (ATR 1:3 Ratio)
09/06/2021,421.45,84,35401.8,492.44,14/10/2021,Target (6x ATR),41365.2,5963.4,16.84,GFS (ATR 1:3 Ratio)
28/10/2021,501.35,66,33089.1,471.48,26/11/2021,Stop Loss (2x ATR),31117.59,-1971.51,-5.96,GFS (ATR 1:3 Ratio)
02/12/2021,477.0,64,30528.0,446.01,20/12/2021,Stop Loss (2x ATR),28544.46,-1983.54,-6.5,GFS (ATR 1:3 Ratio)
22/12/2021,455.85,77,35100.45,534.0,28/01/2022,Target (6x ATR),41118.0,6017.55,17.14,GFS (ATR 1:3 Ratio)
01/02/2022,532.3,64,34067.2,501.35,14/02/2022,Stop Loss (2x ATR),32086.4,-1980.8,-5.81,GFS (ATR 1:3 Ratio)
15/02/2022,524.8,54,28339.2,480.0,24/02/2022,Stop Loss (2x ATR),25920.0,-2419.2,-8.54,GFS (ATR 1:3 Ratio)
30/09/2022,530.6,66,35019.6,620.92,07/11/2022,Target (6x ATR),40980.81,5961.21,17.02,GFS (ATR 1:3 Ratio)
11/11/2022,601.3,68,40888.4,572.24,23/12/2022,Stop Loss (2x ATR),38912.03,-1976.37,-4.83,GFS (ATR 1:3 Ratio)
26/12/2022,597.1,80,47768.0,572.37,25/01/2023,Stop Loss (2x ATR),45789.71,-1978.29,-4.14,GFS (ATR 1:3 Ratio)
01/08/2023,612.35,91,55723.85,590.56,03/08/2023,Stop Loss (2x ATR),53740.7,-1983.15,-3.56,GFS (ATR 1:3 Ratio)
04/08/2023,573.2,82,47002.4,548.89,26/10/2023,Stop Loss (2x ATR),45008.63,-1993.77,-4.24,GFS (ATR 1:3 Ratio)
31/01/2024,640.5,64,40992.0,733.35,14/02/2024,Target (6x ATR),46934.4,5942.4,14.5,GFS (ATR 1:3 Ratio)
28/02/2024,742.5,49,36382.5,863.55,03/06/2024,Target (6x ATR),42313.95,5931.45,16.3,GFS (ATR 1:3 Ratio)
05/06/2024,789.75,29,22902.75,722.46,12/02/2025,Stop Loss (2x ATR),20951.26,-1951.49,-8.52,GFS (ATR 1:3 Ratio)
26/09/2025,856.95,76,65128.2,935.01,28/10/2025,Target (6x ATR),71061.09,5932.89,9.11,GFS (ATR 1:3 Ratio)
27/11/2025,972.85,79,76855.15,947.62,03/12/2025,Stop Loss (2x ATR),74862.09,-1993.06,-2.59,GFS (ATR 1:3 Ratio)
