ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
30/09/2003,82.8,325,26910.0,98.18,10/10/2003,Target (5x ATR),31906.88,4996.88,18.57,GFS (ATR 1:2.5 Ratio)
23/10/2003,91.42,206,18832.52,115.64,02/12/2003,Target (5x ATR),23822.13,4989.61,26.49,GFS (ATR 1:2.5 Ratio)
05/12/2003,112.98,250,28245.0,132.94,02/01/2004,Target (5x ATR),33234.29,4989.29,17.66,GFS (ATR 1:2.5 Ratio)
12/01/2004,128.07,186,23821.02,117.35,22/01/2004,Stop Loss (2x ATR),21826.57,-1994.45,-8.37,GFS (ATR 1:2.5 Ratio)
20/02/2004,119.74,206,24666.44,110.04,27/02/2004,Stop Loss (2x ATR),22668.24,-1998.2,-8.1,GFS (ATR 1:2.5 Ratio)
01/03/2004,114.52,212,24278.24,105.12,29/04/2004,Stop Loss (2x ATR),22285.44,-1992.8,-8.21,GFS (ATR 1:2.5 Ratio)
05/01/2005,122.95,234,28770.3,114.43,11/01/2005,Stop Loss (2x ATR),26775.62,-1994.68,-6.93,GFS (ATR 1:2.5 Ratio)
30/09/2005,132.3,170,22491.0,120.54,14/10/2005,Stop Loss (2x ATR),20491.56,-1999.44,-8.89,GFS (ATR 1:2.5 Ratio)
17/03/2006,143.55,175,25121.25,171.99,07/04/2006,Target (5x ATR),30098.75,4977.5,19.81,GFS (ATR 1:2.5 Ratio)
08/04/2010,176.5,163,28769.5,164.29,04/05/2010,Stop Loss (2x ATR),26779.74,-1989.76,-6.92,GFS (ATR 1:2.5 Ratio)
10/05/2010,175.45,148,25966.6,161.8,17/05/2010,Stop Loss (2x ATR),23946.4,-2020.2,-7.78,GFS (ATR 1:2.5 Ratio)
01/12/2010,213.7,88,18805.6,191.11,21/03/2011,Stop Loss (2x ATR),16818.06,-1987.54,-10.57,GFS (ATR 1:2.5 Ratio)
01/08/2014,184.3,127,23406.1,168.57,25/08/2014,Stop Loss (2x ATR),21408.57,-1997.53,-8.53,GFS (ATR 1:2.5 Ratio)
01/09/2014,176.15,124,21842.6,160.08,16/09/2014,Stop Loss (2x ATR),19849.74,-1992.86,-9.12,GFS (ATR 1:2.5 Ratio)
30/09/2016,152.7,153,23363.1,185.38,24/01/2017,Target (5x ATR),28362.92,4999.82,21.4,GFS (ATR 1:2.5 Ratio)
28/02/2017,184.35,175,32261.25,212.89,19/07/2017,Target (5x ATR),37255.0,4993.75,15.48,GFS (ATR 1:2.5 Ratio)
28/07/2017,215.85,190,41011.5,242.12,08/08/2017,Target (5x ATR),46002.39,4990.89,12.17,GFS (ATR 1:2.5 Ratio)
11/08/2017,221.0,118,26078.0,263.04,12/10/2017,Target (5x ATR),31038.21,4960.21,19.02,GFS (ATR 1:2.5 Ratio)
25/10/2017,266.75,136,36278.0,252.15,15/11/2017,Stop Loss (2x ATR),34292.4,-1985.6,-5.47,GFS (ATR 1:2.5 Ratio)
16/11/2017,254.7,112,28526.4,236.86,01/12/2017,Stop Loss (2x ATR),26528.8,-1997.6,-7.0,GFS (ATR 1:2.5 Ratio)
09/01/2018,271.5,140,38010.0,257.26,17/01/2018,Stop Loss (2x ATR),36016.0,-1994.0,-5.25,GFS (ATR 1:2.5 Ratio)
19/01/2018,258.0,132,34056.0,242.5,05/02/2018,Stop Loss (2x ATR),32010.0,-2046.0,-6.01,GFS (ATR 1:2.5 Ratio)
31/03/2021,326.5,76,24814.0,392.05,07/05/2021,Target (5x ATR),29796.07,4982.07,20.08,GFS (ATR 1:2.5 Ratio)
14/05/2021,382.8,51,19522.8,479.67,13/09/2021,Target (5x ATR),24463.42,4940.62,25.31,GFS (ATR 1:2.5 Ratio)
17/09/2021,473.05,72,34059.6,445.4,20/09/2021,Stop Loss (2x ATR),32068.8,-1990.8,-5.85,GFS (ATR 1:2.5 Ratio)
21/09/2021,451.0,71,32021.0,521.32,14/10/2021,Target (5x ATR),37013.82,4992.82,15.59,GFS (ATR 1:2.5 Ratio)
20/10/2021,512.95,51,26160.45,474.39,22/10/2021,Stop Loss (2x ATR),24194.04,-1966.41,-7.52,GFS (ATR 1:2.5 Ratio)
25/10/2021,473.25,49,23189.25,432.44,26/11/2021,Stop Loss (2x ATR),21189.7,-1999.55,-8.62,GFS (ATR 1:2.5 Ratio)
