ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
31/12/2002,26.57,983,26118.31,31.66,23/05/2003,Target (5x ATR),31117.57,4999.26,19.14,GFS (ATR 1:2.5 Ratio)
08/07/2003,36.18,998,36107.64,41.19,30/07/2003,Target (5x ATR),41104.77,4997.13,13.84,GFS (ATR 1:2.5 Ratio)
31/07/2003,39.74,729,28970.46,46.6,14/10/2003,Target (5x ATR),33969.32,4998.86,17.26,GFS (ATR 1:2.5 Ratio)
22/10/2003,46.05,522,24038.1,42.22,20/11/2003,Stop Loss (2x ATR),22038.84,-1999.26,-8.32,GFS (ATR 1:2.5 Ratio)
25/11/2003,42.6,787,33526.2,48.95,26/12/2003,Target (5x ATR),38523.65,4997.45,14.91,GFS (ATR 1:2.5 Ratio)
21/01/2004,55.94,345,19299.3,49.23,24/03/2004,Stop Loss (2x ATR),16984.35,-2314.95,-11.99,GFS (ATR 1:2.5 Ratio)
25/03/2004,52.98,490,25960.2,48.41,30/03/2004,Stop Loss (2x ATR),23720.9,-2239.3,-8.63,GFS (ATR 1:2.5 Ratio)
19/04/2004,59.12,417,24653.04,54.33,27/04/2004,Stop Loss (2x ATR),22656.8,-1996.24,-8.1,GFS (ATR 1:2.5 Ratio)
28/04/2004,60.05,407,24440.35,55.14,10/05/2004,Stop Loss (2x ATR),22440.82,-1999.53,-8.18,GFS (ATR 1:2.5 Ratio)
11/05/2004,58.0,327,18966.0,51.88,14/05/2004,Stop Loss (2x ATR),16966.16,-1999.84,-10.54,GFS (ATR 1:2.5 Ratio)
05/01/2005,58.04,562,32618.48,52.83,12/01/2005,Stop Loss (2x ATR),29690.46,-2928.02,-8.98,GFS (ATR 1:2.5 Ratio)
13/01/2005,55.75,437,24362.75,67.18,28/02/2005,Target (5x ATR),29358.6,4995.85,20.51,GFS (ATR 1:2.5 Ratio)
17/03/2005,68.26,564,38498.64,64.72,22/03/2005,Stop Loss (2x ATR),36499.66,-1998.98,-5.19,GFS (ATR 1:2.5 Ratio)
08/07/2005,67.46,554,37372.84,76.47,03/08/2005,Target (5x ATR),42366.75,4993.91,13.36,GFS (ATR 1:2.5 Ratio)
08/08/2005,73.22,491,35951.02,83.38,14/09/2005,Target (5x ATR),40941.68,4990.66,13.88,GFS (ATR 1:2.5 Ratio)
06/10/2005,86.99,351,30533.49,81.3,20/10/2005,Stop Loss (2x ATR),28535.8,-1997.69,-6.54,GFS (ATR 1:2.5 Ratio)
21/10/2005,83.35,358,29839.3,77.77,27/10/2005,Stop Loss (2x ATR),27843.19,-1996.11,-6.69,GFS (ATR 1:2.5 Ratio)
08/11/2005,78.31,321,25137.51,93.86,04/04/2006,Target (5x ATR),30127.91,4990.4,19.85,GFS (ATR 1:2.5 Ratio)
07/04/2006,92.09,479,44111.11,87.92,12/04/2006,Stop Loss (2x ATR),42113.68,-1997.43,-4.53,GFS (ATR 1:2.5 Ratio)
17/04/2006,87.58,426,37309.08,82.89,27/04/2006,Stop Loss (2x ATR),35311.14,-1997.94,-5.36,GFS (ATR 1:2.5 Ratio)
11/12/2006,117.16,187,21908.92,106.52,10/01/2007,Stop Loss (2x ATR),19918.44,-1990.48,-9.09,GFS (ATR 1:2.5 Ratio)
12/01/2007,115.19,233,26839.27,106.64,31/01/2007,Stop Loss (2x ATR),24846.79,-1992.48,-7.42,GFS (ATR 1:2.5 Ratio)
01/02/2007,113.08,234,26460.72,104.56,14/02/2007,Stop Loss (2x ATR),24468.04,-1992.68,-7.53,GFS (ATR 1:2.5 Ratio)
31/07/2007,152.64,205,31291.2,142.9,16/08/2007,Stop Loss (2x ATR),29294.5,-1996.7,-6.38,GFS (ATR 1:2.5 Ratio)
17/08/2007,142.8,138,19706.4,178.78,28/09/2007,Target (5x ATR),24671.94,4965.54,25.2,GFS (ATR 1:2.5 Ratio)
05/10/2007,174.47,131,22855.57,159.31,17/10/2007,Stop Loss (2x ATR),20869.24,-1986.33,-8.69,GFS (ATR 1:2.5 Ratio)
23/10/2007,170.64,79,13480.56,241.96,04/01/2008,Target (5x ATR),19114.84,5634.28,41.8,GFS (ATR 1:2.5 Ratio)
07/01/2008,225.87,126,28459.62,210.09,21/01/2008,Stop Loss (2x ATR),26471.7,-1987.92,-6.99,GFS (ATR 1:2.5 Ratio)
23/01/2008,218.43,70,15290.1,189.98,04/03/2008,Stop Loss (2x ATR),13298.4,-1991.7,-13.03,GFS (ATR 1:2.5 Ratio)
30/06/2009,174.53,148,25830.44,161.03,08/07/2009,Stop Loss (2x ATR),23832.23,-1998.21,-7.74,GFS (ATR 1:2.5 Ratio)
