ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,EXIT REASON,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
27/11/2003,108.45,922,99990.9,114.96,02/12/2003,Target (+6%),105990.35,5999.45,6.0,GFS (Dual RSI: 38-42 & 58-62)
04/10/2005,137.52,727,99977.04,134.77,05/10/2005,Stop Loss (-2%),97977.5,-1999.54,-2.0,GFS (Dual RSI: 38-42 & 58-62)
20/04/2010,181.7,550,99935.0,178.07,22/04/2010,Stop Loss (-2%),97936.3,-1998.7,-2.0,GFS (Dual RSI: 38-42 & 58-62)
26/04/2010,184.15,543,99993.45,180.0,28/04/2010,Stop Loss (-2%),97740.0,-2253.45,-2.25,GFS (Dual RSI: 38-42 & 58-62)
01/03/2017,189.25,528,99924.0,200.6,06/03/2017,Target (+6%),105919.44,5995.44,6.0,GFS (Dual RSI: 38-42 & 58-62)
19/09/2017,246.5,405,99832.5,241.57,21/09/2017,Stop Loss (-2%),97835.85,-1996.65,-2.0,GFS (Dual RSI: 38-42 & 58-62)
31/10/2017,267.4,373,99740.2,262.05,06/11/2017,Stop Loss (-2%),97745.4,-1994.8,-2.0,GFS (Dual RSI: 38-42 & 58-62)
02/06/2021,398.8,250,99700.0,390.82,08/06/2021,Stop Loss (-2%),97706.0,-1994.0,-2.0,GFS (Dual RSI: 38-42 & 58-62)
25/02/2022,533.9,187,99839.3,565.93,28/02/2022,Target (+6%),105829.66,5990.36,6.0,GFS (Dual RSI: 38-42 & 58-62)
08/07/2024,697.2,143,99699.6,683.26,19/07/2024,Stop Loss (-2%),97705.61,-1993.99,-2.0,GFS (Dual RSI: 38-42 & 58-62)
