ENTRY DATE,ENTRY PRICE,STOP LOSS,RISK PER SHARE,RISK PER TRADE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,STRATEGY
31/01/2003,11.86,11.25,0.61,1000,1648,19545.28,11.1,03/02/2003,18292.8,-1252.48,System 1
26/02/2003,12.43,12.2,0.23,1000,4329,53809.47,12.3,28/02/2003,53264.02,-545.45,System 1
02/05/2003,12.63,12.09,0.54,1000,1858,23466.54,12.18,07/05/2003,22626.72,-839.82,System 1
16/07/2003,14.16,13.33,0.83,1000,1201,17006.16,13.46,18/07/2003,16162.46,-843.7,System 1
29/10/2003,15.84,15.45,0.39,1000,2557,40502.88,15.54,04/11/2003,39726.83,-776.05,System 1
09/01/2004,18.43,18.1,0.33,1000,3067,56524.81,18.14,13/01/2004,55627.71,-897.1,System 1
14/01/2004,18.39,18.16,0.23,1000,4301,79095.39,18.38,21/01/2004,79073.88,-21.51,System 1
16/02/2004,18.91,18.22,0.69,1000,1447,27362.77,18.24,20/02/2004,26395.45,-967.32,System 1
03/03/2004,19.6,18.55,1.05,1000,951,18639.6,18.79,09/03/2004,17866.44,-773.16,System 1
28/09/2004,20.26,19.63,0.63,1000,1579,31990.54,20.36,12/10/2004,32144.49,153.95,System 1
19/10/2004,20.74,20.41,0.33,1000,3016,62551.84,20.39,21/10/2004,61493.22,-1058.62,System 1
27/10/2004,20.87,20.46,0.41,1000,2427,50651.49,23.11,29/11/2004,56079.48,5427.99,System 1
20/12/2004,24.63,24.14,0.49,1000,2049,50466.87,24.85,05/01/2005,50909.45,442.58,System 1
14/01/2005,25.75,25.13,0.62,1000,1610,41457.5,25.24,18/01/2005,40638.82,-818.68,System 1
19/01/2005,25.95,25.31,0.64,1000,1552,40274.4,25.35,20/01/2005,39341.65,-932.75,System 1
27/01/2005,26.89,25.41,1.48,1000,674,18123.86,27.91,21/02/2005,18814.37,690.51,System 1
25/02/2005,28.51,28.26,0.25,1000,4040,115180.4,29.16,15/03/2005,117790.24,2609.84,System 1
27/06/2005,29.99,28.9,1.09,1000,914,27410.86,29.92,05/07/2005,27345.05,-65.81,System 1
22/07/2005,32.43,31.73,0.7,1000,1419,46018.17,33.09,08/08/2005,46958.97,940.8,System 1
28/11/2005,34.79,33.04,1.75,1000,572,19899.88,34.05,06/12/2005,19479.17,-420.71,System 1
14/12/2005,35.93,34.58,1.35,1000,738,26516.34,34.64,16/12/2005,25564.32,-952.02,System 1
04/01/2006,36.61,35.53,1.08,1000,928,33974.08,36.33,13/01/2006,33711.46,-262.62,System 1
07/02/2006,38.54,37.01,1.53,1000,652,25128.08,37.08,14/02/2006,24176.81,-951.27,System 1
13/03/2006,38.47,37.2,1.27,1000,785,30198.95,37.52,22/03/2006,29456.34,-742.61,System 1
30/03/2006,38.98,37.8,1.18,1000,849,33094.02,40.63,27/04/2006,34496.14,1402.12,System 1
02/05/2006,42.57,41.2,1.37,1000,727,30948.39,42.25,11/05/2006,30716.48,-231.91,System 1
13/09/2006,43.69,42.64,1.05,1000,954,41680.26,43.0,20/09/2006,41025.34,-654.92,System 1
26/09/2006,44.44,43.33,1.11,1000,904,40173.76,49.61,08/11/2006,44849.7,4675.94,System 1
09/11/2006,50.89,49.74,1.15,1000,871,44325.19,54.32,05/12/2006,47311.41,2986.22,System 1
01/02/2007,55.2,52.77,2.43,1000,411,22687.2,54.07,13/02/2007,22224.62,-462.58,System 1
06/07/2007,57.92,55.6,2.32,1000,430,24905.6,59.41,27/07/2007,25545.87,640.27,System 1
23/10/2007,74.41,71.29,3.12,1000,320,23811.2,77.78,08/11/2007,24888.48,1077.28,System 1
14/11/2007,87.62,78.87,8.75,1000,114,9988.68,81.52,20/11/2007,9292.82,-695.86,System 1
11/12/2007,89.03,83.59,5.44,1000,183,16292.49,83.97,17/12/2007,15366.6,-925.89,System 1
14/01/2008,89.16,85.49,3.67,1000,272,24251.52,84.75,16/01/2008,23052.0,-1199.52,System 1
31/07/2009,74.96,71.2,3.76,1000,266,19939.36,71.7,06/08/2009,19071.27,-868.09,System 1
23/10/2009,84.6,83.26,1.34,1000,746,63111.6,83.55,26/10/2009,62328.3,-783.3,System 1
09/11/2009,85.38,83.37,2.01,1000,498,42519.24,85.62,27/11/2009,42639.51,120.27,System 1
30/11/2009,88.32,85.99,2.33,1000,428,37800.96,88.64,10/12/2009,37938.35,137.39,System 1
18/01/2010,88.34,84.79,3.55,1000,281,24823.54,85.43,21/01/2010,24007.23,-816.31,System 1
09/04/2010,97.47,94.21,3.26,1000,306,29825.82,96.89,22/04/2010,29646.96,-178.86,System 1
23/04/2010,97.59,97.06,0.54,1000,1869,182395.71,97.49,29/04/2010,182205.07,-190.64,System 1
22/07/2010,102.87,99.5,3.37,1000,296,30449.52,103.25,05/08/2010,30562.0,112.48,System 1
17/08/2010,106.06,104.4,1.66,1000,602,63848.12,106.92,27/08/2010,64364.03,515.91,System 1
02/09/2010,109.38,107.24,2.14,1000,467,51080.46,121.36,07/10/2010,56677.45,5596.99,System 1
13/07/2011,125.99,122.43,3.56,1000,280,35277.2,125.5,21/07/2011,35138.74,-138.46,System 1
28/02/2012,132.63,129.43,3.2,1000,312,41380.56,129.74,29/02/2012,40479.5,-901.06,System 1
18/04/2012,134.42,130.36,4.06,1000,246,33067.32,134.74,04/05/2012,33145.42,78.1,System 1
27/06/2012,137.25,132.85,4.4,1000,227,31155.75,143.96,23/07/2012,32679.6,1523.85,System 1
30/07/2012,146.82,145.33,1.49,1000,670,98369.4,145.48,31/07/2012,97470.26,-899.14,System 1
06/08/2012,150.07,145.92,4.15,1000,241,36166.87,147.74,21/08/2012,35605.46,-561.41,System 1
14/09/2012,153.19,148.62,4.56,1000,219,33548.61,153.54,05/10/2012,33624.16,75.56,System 1
12/10/2012,157.79,155.46,2.33,1000,429,67691.91,155.9,15/10/2012,66881.1,-810.81,System 1
18/10/2012,159.05,156.75,2.3,1000,435,69186.75,157.02,19/10/2012,68304.57,-882.18,System 1
22/10/2012,159.75,157.2,2.56,1000,391,62462.25,157.59,31/10/2012,61617.69,-844.56,System 1
