Entry Date,Entry Price,Stop Loss (Initial),Risk Per Share,Risk Per Trade,Quantity,Total Buy Value,Exit Price,Exit Date,Total Sell Value,P&L,Strategy Name
2003-09-30,49.73,46.95,2.78,1000,359,17853.07,51.41,2003-10-23,18456.19,603.12,System 1
2003-10-25,53.27,52.0,1.27,1000,790,42083.3,51.43,2003-10-27,40629.7,-1453.6,System 1
2003-10-31,54.5,52.78,1.71,1000,583,31773.5,53.54,2003-11-13,31213.82,-559.68,System 1
2003-12-01,55.15,53.25,1.9,1000,526,29008.9,61.96,2004-01-21,32590.96,3582.06,System 1
2004-02-10,66.47,64.18,2.29,1000,436,28980.92,63.34,2004-02-23,27616.24,-1364.68,System 1
2005-03-11,65.88,62.35,3.53,1000,283,18644.04,63.03,2005-03-17,17837.49,-806.55,System 1
2005-06-30,71.99,67.49,4.5,1000,222,15981.78,68.79,2005-07-07,15271.38,-710.4,System 1
2005-07-12,71.52,70.81,0.71,1000,1399,100056.48,70.69,2005-07-13,98895.31,-1161.17,System 1
2005-07-14,71.88,71.41,0.47,1000,2111,151738.68,78.41,2005-08-16,165523.51,13784.83,System 1
2005-08-31,80.6,79.33,1.27,1000,786,63351.6,86.86,2005-10-13,68271.96,4920.36,System 1
2005-11-11,89.12,86.11,3.01,1000,332,29587.84,94.44,2005-12-23,31354.08,1766.24,System 1
2005-12-27,97.13,95.26,1.87,1000,533,51770.29,97.81,2006-01-16,52132.73,362.44,System 1
2006-01-17,104.03,99.35,4.68,1000,213,22158.39,77.73,2006-01-18,16556.49,-5601.9,System 1
2006-06-30,118.75,105.52,13.22,1000,75,8906.25,115.56,2006-07-17,8667.0,-239.25,System 1
2006-08-25,124.44,114.32,10.12,1000,98,12195.12,121.87,2006-09-11,11943.26,-251.86,System 1
2006-09-14,126.2,124.18,2.02,1000,494,62342.8,125.25,2006-09-19,61873.5,-469.3,System 1
2006-09-21,127.61,125.87,1.74,1000,574,73248.14,128.1,2006-10-11,73529.4,281.26,System 1
2006-10-12,130.95,129.09,1.86,1000,536,70189.2,131.65,2006-10-26,70564.4,375.2,System 1
2006-10-27,137.0,132.24,4.76,1000,210,28770.0,141.44,2006-11-24,29702.4,932.4,System 1
2006-12-05,143.36,141.7,1.66,1000,602,86302.72,138.93,2006-12-11,83635.86,-2666.86,System 1
2007-01-12,150.08,143.15,6.93,1000,144,21611.52,152.26,2007-02-12,21925.44,313.92,System 1
2007-02-15,157.64,154.31,3.33,1000,300,47292.0,151.54,2007-02-28,45462.0,-1830.0,System 1
2007-04-13,158.2,151.73,6.47,1000,154,24362.8,189.5,2007-06-06,29183.0,4820.2,System 1
2007-07-13,198.66,191.66,7.0,1000,142,28209.72,201.42,2007-08-01,28601.64,391.92,System 1
2007-08-30,214.23,202.94,11.29,1000,88,18852.24,276.67,2007-10-19,24346.96,5494.72,System 1
2007-10-23,291.29,279.26,12.04,1000,83,24177.07,303.58,2007-11-21,25197.14,1020.07,System 1
2007-11-26,323.19,309.81,13.38,1000,74,23916.06,316.29,2007-12-10,23405.46,-510.6,System 1
2008-01-04,335.34,318.81,16.53,1000,60,20120.4,313.67,2008-01-18,18820.2,-1300.2,System 1
2017-03-31,295.99,287.17,8.82,1000,113,33446.87,307.12,2017-05-02,34704.56,1257.69,System 1
2017-06-15,310.12,298.25,11.87,1000,84,26050.08,355.03,2017-08-10,29822.52,3772.44,System 1
2017-09-05,365.84,354.25,11.59,1000,86,31462.24,366.33,2017-09-22,31504.38,42.14,System 1
2017-10-13,392.8,371.57,21.23,1000,47,18461.6,406.35,2017-11-07,19098.45,636.85,System 1
2017-11-21,417.94,411.67,6.27,1000,159,66452.46,407.88,2017-12-01,64852.92,-1599.54,System 1
2018-01-09,421.7,412.71,8.99,1000,111,46808.7,413.64,2018-01-16,45914.04,-894.66,System 1
2018-01-22,435.39,416.7,18.69,1000,53,23075.67,423.0,2018-02-01,22419.0,-656.67,System 1
2018-05-10,439.72,429.18,10.54,1000,94,41333.68,428.52,2018-05-16,40280.88,-1052.8,System 1
2018-06-22,453.77,436.61,17.16,1000,58,26318.66,438.73,2018-06-26,25446.34,-872.32,System 1
2018-07-20,505.82,458.68,47.14,1000,21,10622.22,550.86,2018-09-03,11568.06,945.84,System 1
2018-09-07,573.03,558.26,14.77,1000,67,38393.01,554.7,2018-09-11,37164.9,-1228.11,System 1
2019-02-01,560.19,526.88,33.32,1000,30,16805.7,548.65,2019-02-14,16459.5,-346.2,System 1
2019-03-15,592.32,564.98,27.34,1000,36,21323.52,595.73,2019-04-08,21446.28,122.76,System 1
2019-04-18,621.14,607.26,13.88,1000,72,44722.08,602.94,2019-04-22,43411.68,-1310.4,System 1
2019-04-24,622.73,608.54,14.19,1000,70,43591.1,602.11,2019-05-07,42147.7,-1443.4,System 1
2019-10-18,634.76,590.47,44.29,1000,22,13964.72,700.35,2019-12-17,15407.7,1442.98,System 1
2019-12-18,706.24,701.03,5.21,1000,191,134891.84,693.07,2019-12-24,132376.37,-2515.47,System 1
2020-07-31,938.32,892.71,45.61,1000,21,19704.72,949.33,2020-08-17,19935.93,231.21,System 1
2020-08-18,961.67,957.98,3.69,1000,270,259650.9,951.92,2020-08-20,257018.4,-2632.5,System 1
2020-08-26,970.19,957.68,12.51,1000,79,76645.01,944.49,2020-08-31,74614.71,-2030.3,System 1
2020-09-09,981.1,956.31,24.79,1000,40,39244.0,990.11,2020-09-24,39604.4,360.4,System 1
2020-10-13,1035.28,1019.53,15.75,1000,63,65222.64,1001.6,2020-10-15,63100.8,-2121.84,System 1
2021-06-11,1004.62,950.23,54.39,1000,18,18083.16,977.54,2021-06-24,17595.72,-487.44,System 1
2021-09-30,1143.56,1104.53,39.03,1000,25,28589.0,1181.04,2021-10-25,29526.0,937.0,System 1
2021-10-26,1207.93,1190.57,17.36,1000,57,68852.01,1179.58,2021-10-28,67236.06,-1615.95,System 1
2022-04-01,1205.57,1124.24,81.33,1000,12,14466.84,1162.54,2022-04-12,13950.48,-516.36,System 1
2022-04-19,1198.74,1178.52,20.22,1000,49,58738.26,1198.78,2022-05-05,58740.22,1.96,System 1
2024-01-31,1426.63,1353.18,73.45,1000,13,18546.19,1455.63,2024-02-28,18923.19,377.0,System 1
2024-03-01,1492.13,1465.98,26.15,1000,38,56700.94,1478.93,2024-03-07,56199.34,-501.6,System 1
2024-06-03,1510.33,1437.42,72.91,1000,13,19634.29,1397.28,2024-06-04,18164.64,-1469.65,System 1
2024-06-26,1514.03,1456.87,57.16,1000,17,25738.51,1500.68,2024-07-22,25511.56,-226.95,System 1
2025-12-31,1570.4,1549.88,20.53,1000,48,75379.2,1507.6,2026-01-06,72364.8,-3014.4,System 1
