ENTRY DATE,ENTRY PRICE,STOP LOSS,RISK PER SHARE,RISK PER TRADE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,STRATEGY
26/12/2002,33.67,32.82,0.85,1000,1179,39696.93,32.98,02/01/2003,38886.37,-810.56,System 1
09/07/2003,36.6,36.26,0.34,1000,2962,108409.2,37.16,22/07/2003,110072.36,1663.16,System 1
24/07/2003,38.3,37.28,1.02,1000,982,37610.6,37.77,30/07/2003,37090.14,-520.46,System 1
06/08/2003,39.28,38.45,0.83,1000,1201,47175.28,45.23,15/09/2003,54318.23,7142.95,System 1
24/09/2003,48.07,46.39,1.68,1000,594,28553.58,47.53,06/10/2003,28234.6,-318.98,System 1
25/10/2003,53.27,52.0,1.27,1000,790,42083.3,52.14,27/10/2003,41193.36,-889.94,System 1
31/10/2003,54.5,52.78,1.71,1000,583,31773.5,53.65,10/11/2003,31275.62,-497.88,System 1
01/12/2003,55.15,53.25,1.9,1000,526,29008.9,48.74,23/12/2003,25637.24,-3371.66,System 1
10/02/2004,66.47,64.18,2.29,1000,436,28980.92,64.96,23/02/2004,28322.34,-658.58,System 1
14/10/2004,60.83,58.84,1.99,1000,502,30536.66,60.3,25/10/2004,30268.59,-268.07,System 1
26/10/2004,61.82,60.61,1.21,1000,827,51125.14,60.86,27/10/2004,50330.81,-794.33,System 1
12/07/2005,71.52,70.81,0.71,1000,1399,100056.48,71.12,13/07/2005,99495.48,-561.0,System 1
14/07/2005,71.88,71.41,0.47,1000,2111,151738.68,78.62,16/08/2005,165958.38,14219.7,System 1
31/08/2005,80.6,79.33,1.27,1000,786,63351.6,83.02,23/09/2005,65256.86,1905.26,System 1
26/09/2005,87.42,83.48,3.94,1000,253,22117.26,87.11,07/10/2005,22039.84,-77.42,System 1
11/11/2005,89.12,86.11,3.01,1000,332,29587.84,82.35,17/11/2005,27340.2,-2247.64,System 1
19/12/2005,96.04,94.96,1.08,1000,928,89125.12,95.18,21/12/2005,88325.65,-799.47,System 1
27/12/2005,97.13,95.26,1.87,1000,533,51770.29,96.71,12/01/2006,51546.43,-223.86,System 1
17/01/2006,104.03,99.35,4.68,1000,213,22158.39,65.0,18/01/2006,13845.0,-8313.39,System 1
17/05/2006,121.7,117.43,4.27,1000,234,28477.8,117.5,18/05/2006,27495.12,-982.68,System 1
30/06/2006,118.75,105.52,13.22,1000,75,8906.25,113.84,12/07/2006,8537.81,-368.44,System 1
14/09/2006,126.2,124.18,2.02,1000,494,62342.8,125.32,19/09/2006,61907.59,-435.21,System 1
21/09/2006,127.61,125.87,1.74,1000,574,73248.14,128.59,10/10/2006,73810.09,561.95,System 1
12/10/2006,130.95,129.09,1.86,1000,536,70189.2,131.97,26/10/2006,70736.72,547.52,System 1
27/10/2006,137.0,132.24,4.76,1000,210,28770.0,137.28,20/11/2006,28828.8,58.8,System 1
22/11/2006,143.21,141.47,1.74,1000,575,82345.75,142.24,24/11/2006,81785.7,-560.05,System 1
05/12/2006,143.36,141.7,1.66,1000,602,86302.72,142.0,08/12/2006,85483.4,-819.32,System 1
