Entry Date,Entry Price,Stop Loss (Initial),Risk Per Share,Risk Per Trade,Quantity,Total Buy Value,Exit Price,Exit Date,Total Sell Value,P&L,Strategy Name
2001-02-13,45.94,43.2,2.74,1000,364,16722.16,45.05,2001-02-27,16398.2,-323.96,System 1 (Daily RSI Only)
2001-02-28,46.4,45.65,0.75,1000,1328,61619.2,45.79,2001-03-05,60809.12,-810.08,System 1 (Daily RSI Only)
2001-05-17,42.86,39.74,3.12,1000,320,13715.2,41.99,2001-06-04,13436.8,-278.4,System 1 (Daily RSI Only)
2001-11-15,31.16,29.78,1.38,1000,722,22497.52,33.87,2001-12-27,24454.14,1956.62,System 1 (Daily RSI Only)
2002-01-04,35.97,34.58,1.39,1000,719,25862.43,34.91,2002-01-18,25100.29,-762.14,System 1 (Daily RSI Only)
2002-02-19,35.95,34.68,1.27,1000,790,28400.5,34.49,2002-02-28,27247.1,-1153.4,System 1 (Daily RSI Only)
2002-06-11,32.4,30.39,2.01,1000,497,16102.8,30.57,2002-06-25,15193.29,-909.51,System 1 (Daily RSI Only)
2002-09-02,29.72,27.51,2.21,1000,451,13403.72,28.63,2002-09-20,12912.13,-491.59,System 1 (Daily RSI Only)
2002-10-31,29.75,26.72,3.03,1000,330,9817.5,32.48,2002-12-18,10718.4,900.9,System 1 (Daily RSI Only)
2002-12-26,33.67,32.82,0.85,1000,1179,39696.93,32.89,2003-01-02,38777.31,-919.62,System 1 (Daily RSI Only)
2003-02-21,33.04,31.64,1.4,1000,714,23590.56,32.38,2003-03-05,23119.32,-471.24,System 1 (Daily RSI Only)
2003-04-07,33.63,31.95,1.68,1000,596,20043.48,31.96,2003-04-10,19048.16,-995.32,System 1 (Daily RSI Only)
2003-05-28,32.27,30.28,1.99,1000,503,16231.81,36.95,2003-07-23,18585.85,2354.04,System 1 (Daily RSI Only)
2003-07-24,38.3,37.28,1.02,1000,982,37610.6,45.59,2003-09-17,44769.38,7158.78,System 1 (Daily RSI Only)
2003-09-24,48.07,46.39,1.68,1000,594,28553.58,51.41,2003-10-23,30537.54,1983.96,System 1 (Daily RSI Only)
2003-10-25,53.27,52.0,1.27,1000,790,42083.3,51.43,2003-10-27,40629.7,-1453.6,System 1 (Daily RSI Only)
2003-10-31,54.5,52.78,1.71,1000,583,31773.5,53.54,2003-11-13,31213.82,-559.68,System 1 (Daily RSI Only)
2003-12-01,55.15,53.25,1.9,1000,526,29008.9,61.96,2004-01-21,32590.96,3582.06,System 1 (Daily RSI Only)
2004-02-10,66.47,64.18,2.29,1000,436,28980.92,63.34,2004-02-23,27616.24,-1364.68,System 1 (Daily RSI Only)
2004-04-05,64.44,60.61,3.83,1000,260,16754.4,60.44,2004-04-27,15714.4,-1040.0,System 1 (Daily RSI Only)
2004-07-23,52.24,48.76,3.48,1000,287,14992.88,52.72,2004-08-18,15130.64,137.76,System 1 (Daily RSI Only)
2004-09-09,54.42,52.78,1.64,1000,609,33141.78,60.15,2004-10-25,36631.35,3489.57,System 1 (Daily RSI Only)
2004-10-26,61.82,60.61,1.21,1000,827,51125.14,60.57,2004-10-27,50091.39,-1033.75,System 1 (Daily RSI Only)
2005-01-03,60.94,57.02,3.92,1000,255,15539.7,57.58,2005-01-14,14682.9,-856.8,System 1 (Daily RSI Only)
2005-02-01,60.84,58.52,2.32,1000,430,26161.2,63.03,2005-03-17,27102.9,941.7,System 1 (Daily RSI Only)
2005-06-04,62.21,59.93,2.28,1000,439,27310.19,68.79,2005-07-07,30198.81,2888.62,System 1 (Daily RSI Only)
2005-07-12,71.52,70.81,0.71,1000,1399,100056.48,70.69,2005-07-13,98895.31,-1161.17,System 1 (Daily RSI Only)
