Entry Date,Entry Price,Stop Loss (Initial),Quantity,Total Buy Value,Exit Price,Exit Date,Total Sell Value,P&L,Strategy Name
2002-12-13,33.27,32.25,983,32704.41,32.48,2002-12-18,31927.84,-776.57,System 1 (Weekly+Daily Only)
2002-12-26,33.67,32.82,1179,39696.93,32.89,2003-01-02,38777.31,-919.62,System 1 (Weekly+Daily Only)
2003-06-13,35.07,32.78,436,15290.52,36.95,2003-07-23,16110.2,819.68,System 1 (Weekly+Daily Only)
2003-07-24,38.3,37.28,982,37610.6,45.59,2003-09-17,44769.38,7158.78,System 1 (Weekly+Daily Only)
2003-09-24,48.07,46.39,594,28553.58,51.41,2003-10-23,30537.54,1983.96,System 1 (Weekly+Daily Only)
2003-10-25,53.27,52.0,790,42083.3,51.43,2003-10-27,40629.7,-1453.6,System 1 (Weekly+Daily Only)
2003-10-31,54.5,52.78,583,31773.5,53.54,2003-11-13,31213.82,-559.68,System 1 (Weekly+Daily Only)
2003-12-01,55.15,53.25,526,29008.9,61.96,2004-01-21,32590.96,3582.06,System 1 (Weekly+Daily Only)
2004-02-10,66.47,64.18,436,28980.92,63.34,2004-02-23,27616.24,-1364.68,System 1 (Weekly+Daily Only)
2004-10-08,62.12,57.59,220,13666.4,60.15,2004-10-25,13233.0,-433.4,System 1 (Weekly+Daily Only)
2004-10-26,61.82,60.61,827,51125.14,60.57,2004-10-27,50091.39,-1033.75,System 1 (Weekly+Daily Only)
2005-03-11,65.88,62.35,283,18644.04,63.03,2005-03-17,17837.49,-806.55,System 1 (Weekly+Daily Only)
2005-06-24,73.35,65.23,123,9022.05,68.79,2005-07-07,8461.17,-560.88,System 1 (Weekly+Daily Only)
2005-07-12,71.52,70.81,1399,100056.48,70.69,2005-07-13,98895.31,-1161.17,System 1 (Weekly+Daily Only)
2005-07-14,71.88,71.41,2111,151738.68,78.41,2005-08-16,165523.51,13784.83,System 1 (Weekly+Daily Only)
2005-08-31,80.6,79.33,786,63351.6,86.86,2005-10-13,68271.96,4920.36,System 1 (Weekly+Daily Only)
2005-11-11,89.12,86.11,332,29587.84,94.44,2005-12-23,31354.08,1766.24,System 1 (Weekly+Daily Only)
2005-12-27,97.13,95.26,533,51770.29,97.81,2006-01-16,52132.73,362.44,System 1 (Weekly+Daily Only)
2006-01-17,104.03,99.35,213,22158.39,77.73,2006-01-18,16556.49,-5601.9,System 1 (Weekly+Daily Only)
