ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
21/12/2001,0.3,83333,24999.9,0.32,15/01/2002,26666.56,1666.66,6.67,System 3 (Double Seven)
28/02/2002,0.4,62500,25000.0,0.48,12/03/2002,30000.0,5000.0,20.0,System 3 (Double Seven)
21/03/2002,0.43,58139,24999.77,0.44,04/04/2002,25581.16,581.39,2.33,System 3 (Double Seven)
17/05/2002,0.56,44642,24999.52,0.54,11/06/2002,24106.68,-892.84,-3.57,System 3 (Double Seven)
28/06/2002,0.53,47169,24999.57,0.56,04/07/2002,26414.64,1415.07,5.66,System 3 (Double Seven)
10/07/2002,0.53,47169,24999.57,0.46,30/08/2002,21697.74,-3301.83,-13.21,System 3 (Double Seven)
20/05/2003,0.47,53191,24999.77,0.52,23/05/2003,27659.32,2659.55,10.64,System 3 (Double Seven)
10/06/2003,0.52,48076,24999.52,0.57,19/06/2003,27403.32,2403.8,9.62,System 3 (Double Seven)
10/07/2003,0.52,48076,24999.52,0.53,29/07/2003,25480.28,480.76,1.92,System 3 (Double Seven)
15/09/2003,0.58,43103,24999.74,0.58,29/09/2003,24999.74,0.0,0.0,System 3 (Double Seven)
04/11/2003,0.61,40983,24999.63,0.63,07/11/2003,25819.29,819.66,3.28,System 3 (Double Seven)
11/12/2003,0.84,29761,24999.24,0.89,17/12/2003,26487.29,1488.05,5.95,System 3 (Double Seven)
31/12/2003,0.84,29761,24999.24,0.67,29/03/2004,19939.87,-5059.37,-20.24,System 3 (Double Seven)
27/04/2004,0.76,32894,24999.44,0.81,06/05/2004,26644.14,1644.7,6.58,System 3 (Double Seven)
14/05/2004,0.71,35211,24999.81,0.78,20/05/2004,27464.58,2464.77,9.86,System 3 (Double Seven)
31/05/2004,0.75,33333,24999.75,0.77,17/06/2004,25666.41,666.66,2.67,System 3 (Double Seven)
24/06/2004,0.74,33783,24999.42,0.78,01/07/2004,26350.74,1351.32,5.41,System 3 (Double Seven)
15/07/2004,0.75,33333,24999.75,0.78,02/08/2004,25999.74,999.99,4.0,System 3 (Double Seven)
23/08/2004,0.79,31645,24999.55,0.83,01/09/2004,26265.35,1265.8,5.06,System 3 (Double Seven)
15/10/2004,1.02,24509,24999.18,1.07,20/10/2004,26224.63,1225.45,4.9,System 3 (Double Seven)
28/10/2004,1.01,24752,24999.52,1.11,11/11/2004,27474.72,2475.2,9.9,System 3 (Double Seven)
02/12/2004,1.15,21739,24999.85,1.17,20/12/2004,25434.63,434.78,1.74,System 3 (Double Seven)
04/01/2005,1.15,21739,24999.85,1.15,18/01/2005,24999.85,0.0,0.0,System 3 (Double Seven)
22/03/2005,1.44,17361,24999.84,1.52,30/03/2005,26388.72,1388.88,5.56,System 3 (Double Seven)
04/05/2005,1.63,15337,24999.31,1.74,06/05/2005,26686.38,1687.07,6.75,System 3 (Double Seven)
16/06/2005,2.22,11261,24999.42,2.34,23/06/2005,26350.74,1351.32,5.41,System 3 (Double Seven)
20/07/2005,2.69,9293,24998.17,2.79,03/08/2005,25927.47,929.3,3.72,System 3 (Double Seven)
16/08/2005,2.82,8865,24999.3,2.86,16/09/2005,25353.9,354.6,1.42,System 3 (Double Seven)
17/10/2005,2.98,8389,24999.22,2.94,08/11/2005,24663.66,-335.56,-1.34,System 3 (Double Seven)
26/12/2005,3.83,6527,24998.41,4.05,16/01/2006,26434.35,1435.94,5.74,System 3 (Double Seven)
13/03/2006,5.07,4930,24995.1,5.04,24/03/2006,24847.2,-147.9,-0.59,System 3 (Double Seven)
07/04/2006,4.71,5307,24995.97,4.75,04/05/2006,25208.25,212.28,0.85,System 3 (Double Seven)
12/05/2006,4.48,5580,24998.4,4.27,29/05/2006,23826.6,-1171.8,-4.69,System 3 (Double Seven)
25/01/2007,3.78,6613,24997.14,4.33,09/02/2007,28634.29,3637.15,14.55,System 3 (Double Seven)
28/02/2007,4.03,6203,24998.09,4.09,14/03/2007,25370.27,372.18,1.49,System 3 (Double Seven)
04/04/2007,4.13,6053,24998.89,4.28,12/04/2007,25906.84,907.95,3.63,System 3 (Double Seven)
26/04/2007,4.24,5896,24999.04,4.36,03/05/2007,25706.56,707.52,2.83,System 3 (Double Seven)
09/05/2007,4.2,5952,24998.4,4.5,11/05/2007,26784.0,1785.6,7.14,System 3 (Double Seven)
21/05/2007,4.14,6038,24997.32,3.8,02/07/2007,22944.4,-2052.92,-8.21,System 3 (Double Seven)
15/01/2008,4.46,5605,24998.3,4.05,31/01/2008,22700.25,-2298.05,-9.19,System 3 (Double Seven)
07/02/2008,3.99,6265,24997.35,4.07,14/02/2008,25498.55,501.2,2.01,System 3 (Double Seven)
