ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
24/04/2003,14.87,1681,24996.47,15.67,02/05/2003,26341.27,1344.8,5.38,System 3 (Double Seven)
12/05/2003,15.05,1661,24998.05,15.95,14/05/2003,26492.95,1494.9,5.98,System 3 (Double Seven)
20/06/2003,17.99,1389,24988.11,18.27,17/07/2003,25377.03,388.92,1.56,System 3 (Double Seven)
13/08/2003,23.19,1078,24998.82,26.2,18/08/2003,28243.6,3244.78,12.98,System 3 (Double Seven)
08/09/2003,28.98,862,24980.76,30.03,18/09/2003,25885.86,905.1,3.62,System 3 (Double Seven)
14/10/2003,33.25,751,24970.75,35.99,25/10/2003,27028.49,2057.74,8.24,System 3 (Double Seven)
13/11/2003,38.12,655,24968.6,38.97,28/11/2003,25525.35,556.75,2.23,System 3 (Double Seven)
19/01/2004,51.68,483,24961.44,56.67,21/01/2004,27371.61,2410.17,9.66,System 3 (Double Seven)
24/02/2004,68.32,365,24936.8,74.89,01/03/2004,27334.85,2398.05,9.62,System 3 (Double Seven)
11/03/2004,68.68,364,24999.52,67.49,26/03/2004,24566.36,-433.16,-1.73,System 3 (Double Seven)
21/04/2004,76.18,328,24987.04,81.32,23/04/2004,26672.96,1685.92,6.75,System 3 (Double Seven)
10/05/2004,72.61,344,24977.84,71.4,26/05/2004,24561.6,-416.24,-1.67,System 3 (Double Seven)
31/05/2004,63.63,392,24942.96,68.68,09/06/2004,26922.56,1979.6,7.94,System 3 (Double Seven)
16/06/2004,62.55,399,24957.45,62.96,28/06/2004,25121.04,163.59,0.66,System 3 (Double Seven)
27/07/2004,68.25,366,24979.5,72.38,10/08/2004,26491.08,1511.58,6.05,System 3 (Double Seven)
18/08/2004,64.98,384,24952.32,63.79,10/09/2004,24495.36,-456.96,-1.83,System 3 (Double Seven)
27/09/2004,66.66,375,24997.5,68.48,06/10/2004,25680.0,682.5,2.73,System 3 (Double Seven)
14/10/2004,68.13,366,24935.58,71.17,26/10/2004,26048.22,1112.64,4.46,System 3 (Double Seven)
05/11/2004,71.65,348,24934.2,74.91,10/11/2004,26068.68,1134.48,4.55,System 3 (Double Seven)
