ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
25/01/2002,11.46,2181,24994.26,11.34,07/02/2002,24732.54,-261.72,-1.05,System 3 (Double Seven)
28/02/2002,11.68,2140,24995.2,11.97,18/03/2002,25615.8,620.6,2.48,System 3 (Double Seven)
26/03/2002,11.52,2170,24998.4,11.37,18/04/2002,24672.9,-325.5,-1.3,System 3 (Double Seven)
30/12/2002,10.71,2334,24997.14,10.91,14/01/2003,25463.94,466.8,1.87,System 3 (Double Seven)
25/02/2003,12.28,2035,24989.8,12.25,20/03/2003,24928.75,-61.05,-0.24,System 3 (Double Seven)
24/03/2003,11.8,2118,24992.4,11.97,04/04/2003,25352.46,360.06,1.44,System 3 (Double Seven)
08/05/2003,12.18,2052,24993.36,12.45,15/05/2003,25547.4,554.04,2.22,System 3 (Double Seven)
22/05/2003,12.06,2072,24988.32,12.6,04/06/2003,26107.2,1118.88,4.48,System 3 (Double Seven)
19/06/2003,12.47,2004,24989.88,12.91,30/06/2003,25871.64,881.76,3.53,System 3 (Double Seven)
17/07/2003,13.64,1832,24988.48,13.99,05/08/2003,25629.68,641.2,2.57,System 3 (Double Seven)
14/08/2003,13.37,1869,24988.53,13.9,18/08/2003,25979.1,990.57,3.96,System 3 (Double Seven)
29/08/2003,13.79,1812,24987.48,13.75,30/09/2003,24915.0,-72.48,-0.29,System 3 (Double Seven)
22/10/2003,15.05,1661,24998.05,15.84,29/10/2003,26310.24,1312.19,5.25,System 3 (Double Seven)
06/11/2003,15.4,1623,24994.2,15.57,01/12/2003,25270.11,275.91,1.1,System 3 (Double Seven)
23/12/2003,17.63,1418,24999.34,18.01,24/12/2003,25538.18,538.84,2.16,System 3 (Double Seven)
07/01/2004,18.05,1385,24999.25,18.43,09/01/2004,25525.55,526.3,2.11,System 3 (Double Seven)
