ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
04/03/2002,67.94,367,24933.98,70.47,19/03/2002,25862.49,928.51,3.72,System 3 (Double Seven)
26/03/2002,67.32,371,24975.72,66.73,12/04/2002,24756.83,-218.89,-0.88,System 3 (Double Seven)
16/04/2002,64.99,384,24956.16,65.71,30/04/2002,25232.64,276.48,1.11,System 3 (Double Seven)
21/05/2002,65.15,383,24952.45,63.85,14/06/2002,24454.55,-497.9,-2.0,System 3 (Double Seven)
27/06/2002,64.05,390,24979.5,53.33,22/08/2002,20798.7,-4180.8,-16.74,System 3 (Double Seven)
13/05/2003,56.01,446,24980.46,57.76,15/05/2003,25760.96,780.5,3.12,System 3 (Double Seven)
02/06/2003,61.47,406,24956.82,62.93,09/06/2003,25549.58,592.76,2.38,System 3 (Double Seven)
24/07/2003,69.38,360,24976.8,72.0,25/07/2003,25920.0,943.2,3.78,System 3 (Double Seven)
04/09/2003,79.38,314,24925.32,81.26,26/09/2003,25515.64,590.32,2.37,System 3 (Double Seven)
23/10/2003,91.42,273,24957.66,98.86,31/10/2003,26988.78,2031.12,8.14,System 3 (Double Seven)
14/11/2003,106.17,235,24949.95,108.45,27/11/2003,25485.75,535.8,2.15,System 3 (Double Seven)
13/01/2004,126.13,198,24973.74,116.56,09/02/2004,23078.88,-1894.86,-7.59,System 3 (Double Seven)
19/02/2004,119.04,210,24998.4,119.88,03/03/2004,25174.8,176.4,0.71,System 3 (Double Seven)
17/03/2004,115.13,217,24983.21,118.75,02/04/2004,25768.75,785.54,3.14,System 3 (Double Seven)
15/04/2004,116.22,215,24987.3,87.75,24/05/2004,18866.25,-6121.05,-24.5,System 3 (Double Seven)
11/10/2004,120.86,206,24897.16,112.87,26/10/2004,23251.22,-1645.94,-6.61,System 3 (Double Seven)
29/10/2004,106.85,233,24896.05,114.96,04/11/2004,26785.68,1889.63,7.59,System 3 (Double Seven)
19/11/2004,115.24,216,24891.84,117.77,30/11/2004,25438.32,546.48,2.2,System 3 (Double Seven)
10/12/2004,115.66,216,24982.56,117.45,20/12/2004,25369.2,386.64,1.55,System 3 (Double Seven)
06/01/2005,119.43,209,24960.87,115.95,28/01/2005,24233.55,-727.32,-2.91,System 3 (Double Seven)
22/02/2005,122.25,204,24939.0,125.44,25/02/2005,25589.76,650.76,2.61,System 3 (Double Seven)
01/03/2005,121.56,205,24919.8,126.28,04/03/2005,25887.4,967.6,3.88,System 3 (Double Seven)
17/03/2005,127.08,196,24907.68,121.89,01/04/2005,23890.44,-1017.24,-4.08,System 3 (Double Seven)
13/04/2005,119.66,208,24889.28,105.81,27/05/2005,22008.48,-2880.8,-11.57,System 3 (Double Seven)
23/08/2005,123.53,202,24953.06,127.75,30/08/2005,25805.5,852.44,3.42,System 3 (Double Seven)
22/09/2005,130.18,192,24994.56,136.39,03/10/2005,26186.88,1192.32,4.77,System 3 (Double Seven)
06/10/2005,131.4,190,24966.0,112.14,07/11/2005,21306.6,-3659.4,-14.66,System 3 (Double Seven)
28/12/2005,122.58,203,24883.74,129.06,30/12/2005,26199.18,1315.44,5.29,System 3 (Double Seven)
17/01/2006,132.97,188,24998.36,142.6,19/01/2006,26808.8,1810.44,7.24,System 3 (Double Seven)
14/02/2006,142.69,175,24970.75,143.37,01/03/2006,25089.75,119.0,0.48,System 3 (Double Seven)
14/03/2006,140.4,178,24991.2,145.84,20/03/2006,25959.52,968.32,3.87,System 3 (Double Seven)
15/05/2006,188.64,132,24900.48,144.22,19/06/2006,19037.04,-5863.44,-23.55,System 3 (Double Seven)
11/07/2006,151.02,165,24918.3,161.77,12/07/2006,26692.05,1773.75,7.12,System 3 (Double Seven)
17/07/2006,150.21,166,24934.86,148.77,27/07/2006,24695.82,-239.04,-0.96,System 3 (Double Seven)
12/09/2006,154.75,161,24914.75,154.3,29/09/2006,24842.3,-72.45,-0.29,System 3 (Double Seven)
09/11/2006,164.52,151,24842.52,160.02,24/11/2006,24163.02,-679.5,-2.74,System 3 (Double Seven)
27/07/2007,155.79,160,24926.4,133.74,27/08/2007,21398.4,-3528.0,-14.15,System 3 (Double Seven)
08/10/2007,145.71,171,24916.41,161.32,12/10/2007,27585.72,2669.31,10.71,System 3 (Double Seven)
05/11/2007,165.51,151,24992.01,183.51,08/11/2007,27710.01,2718.0,10.88,System 3 (Double Seven)
20/11/2007,174.1,143,24896.3,175.0,04/12/2007,25025.0,128.7,0.52,System 3 (Double Seven)
08/01/2008,188.01,132,24817.32,164.07,05/02/2008,21657.24,-3160.08,-12.73,System 3 (Double Seven)
02/05/2008,167.35,149,24935.15,173.07,14/05/2008,25787.43,852.28,3.42,System 3 (Double Seven)
26/05/2008,167.53,149,24961.97,130.77,08/07/2008,19484.73,-5477.24,-21.94,System 3 (Double Seven)
18/06/2009,87.35,286,24982.1,79.6,15/07/2009,22765.6,-2216.5,-8.87,System 3 (Double Seven)
17/08/2009,100.25,249,24962.25,109.1,28/08/2009,27165.9,2203.65,8.83,System 3 (Double Seven)
02/09/2009,103.85,240,24924.0,114.95,08/09/2009,27588.0,2664.0,10.69,System 3 (Double Seven)
05/10/2009,118.0,211,24898.0,129.25,08/10/2009,27271.75,2373.75,9.53,System 3 (Double Seven)
27/10/2009,126.1,198,24967.8,129.45,09/11/2009,25631.1,663.3,2.66,System 3 (Double Seven)
14/12/2009,140.15,178,24946.7,153.4,23/12/2009,27305.2,2358.5,9.45,System 3 (Double Seven)
15/01/2010,166.6,150,24990.0,145.4,16/02/2010,21810.0,-3180.0,-12.73,System 3 (Double Seven)
11/03/2010,159.75,156,24921.0,169.55,16/03/2010,26449.8,1528.8,6.13,System 3 (Double Seven)
08/04/2010,176.5,141,24886.5,181.7,20/04/2010,25619.7,733.2,2.95,System 3 (Double Seven)
03/05/2010,172.95,144,24904.8,145.15,16/06/2010,20901.6,-4003.2,-16.07,System 3 (Double Seven)
25/08/2010,163.65,152,24874.8,178.95,06/09/2010,27200.4,2325.6,9.35,System 3 (Double Seven)
19/10/2010,206.35,121,24968.35,221.2,25/10/2010,26765.2,1796.85,7.2,System 3 (Double Seven)
16/11/2010,211.9,117,24792.3,218.75,02/12/2010,25593.75,801.45,3.23,System 3 (Double Seven)
07/01/2011,233.3,107,24963.1,246.05,03/02/2011,26327.35,1364.25,5.47,System 3 (Double Seven)
09/02/2011,219.35,113,24786.55,213.0,09/03/2011,24069.0,-717.55,-2.89,System 3 (Double Seven)
11/03/2011,205.75,121,24895.75,204.8,24/03/2011,24780.8,-114.95,-0.46,System 3 (Double Seven)
11/04/2011,207.4,120,24888.0,220.8,21/04/2011,26496.0,1608.0,6.46,System 3 (Double Seven)
02/05/2011,213.35,117,24961.95,197.55,27/05/2011,23113.35,-1848.6,-7.41,System 3 (Double Seven)
10/01/2013,130.05,192,24969.6,93.15,02/04/2013,17884.8,-7084.8,-28.37,System 3 (Double Seven)
24/09/2013,112.0,223,24976.0,118.05,04/10/2013,26325.15,1349.15,5.4,System 3 (Double Seven)
14/10/2013,110.6,226,24995.6,115.9,03/11/2013,26193.4,1197.8,4.79,System 3 (Double Seven)
11/11/2013,111.35,224,24942.4,119.0,18/11/2013,26656.0,1713.6,6.87,System 3 (Double Seven)
13/12/2013,118.7,210,24927.0,123.55,23/12/2013,25945.5,1018.5,4.09,System 3 (Double Seven)
02/01/2014,120.65,207,24974.55,113.0,21/01/2014,23391.0,-1583.55,-6.34,System 3 (Double Seven)
27/01/2014,111.1,225,24997.5,105.35,28/02/2014,23703.75,-1293.75,-5.18,System 3 (Double Seven)
15/04/2014,134.05,186,24933.3,143.5,21/04/2014,26691.0,1757.7,7.05,System 3 (Double Seven)
30/04/2014,134.3,186,24979.8,144.1,09/05/2014,26802.6,1822.8,7.3,System 3 (Double Seven)
16/06/2014,161.2,155,24986.0,175.25,01/07/2014,27163.75,2177.75,8.72,System 3 (Double Seven)
11/07/2014,166.75,149,24845.75,182.3,16/07/2014,27162.7,2316.95,9.33,System 3 (Double Seven)
01/08/2014,184.3,135,24880.5,156.9,29/10/2014,21181.5,-3699.0,-14.87,System 3 (Double Seven)
11/11/2014,151.25,165,24956.25,158.05,17/11/2014,26078.25,1122.0,4.5,System 3 (Double Seven)
05/12/2014,163.2,153,24969.6,157.8,19/12/2014,24143.4,-826.2,-3.31,System 3 (Double Seven)
28/04/2016,96.9,257,24903.3,90.3,26/05/2016,23207.1,-1696.2,-6.81,System 3 (Double Seven)
21/07/2016,133.9,186,24905.4,136.6,01/08/2016,25407.6,502.2,2.02,System 3 (Double Seven)
25/08/2016,154.25,162,24988.5,162.75,30/08/2016,26365.5,1377.0,5.51,System 3 (Double Seven)
09/09/2016,154.85,161,24930.85,154.6,22/09/2016,24890.6,-40.25,-0.16,System 3 (Double Seven)
17/10/2016,150.65,165,24857.25,156.95,01/11/2016,25896.75,1039.5,4.18,System 3 (Double Seven)
21/11/2016,157.35,158,24861.3,173.7,23/11/2016,27444.6,2583.3,10.39,System 3 (Double Seven)
02/12/2016,168.75,148,24975.0,179.2,08/12/2016,26521.6,1546.6,6.19,System 3 (Double Seven)
16/12/2016,170.2,146,24849.2,158.9,04/01/2017,23199.4,-1649.8,-6.64,System 3 (Double Seven)
07/02/2017,185.9,134,24910.6,189.25,01/03/2017,25359.5,448.9,1.8,System 3 (Double Seven)
10/03/2017,187.6,133,24950.8,195.05,31/03/2017,25941.65,990.85,3.97,System 3 (Double Seven)
12/04/2017,193.0,129,24897.0,191.7,25/04/2017,24729.3,-167.7,-0.67,System 3 (Double Seven)
05/05/2017,185.8,134,24897.2,198.45,15/05/2017,26592.3,1695.1,6.81,System 3 (Double Seven)
22/05/2017,190.25,131,24922.75,201.25,29/05/2017,26363.75,1441.0,5.78,System 3 (Double Seven)
06/06/2017,195.45,127,24822.15,202.15,09/06/2017,25673.05,850.9,3.43,System 3 (Double Seven)
16/06/2017,195.25,128,24992.0,196.65,03/07/2017,25171.2,179.2,0.72,System 3 (Double Seven)
19/09/2017,246.5,101,24896.5,241.9,04/10/2017,24431.9,-464.6,-1.87,System 3 (Double Seven)
07/11/2017,266.9,93,24821.7,242.75,15/12/2017,22575.75,-2245.95,-9.05,System 3 (Double Seven)
10/01/2018,268.8,93,24998.4,251.5,15/02/2018,23389.5,-1608.9,-6.44,System 3 (Double Seven)
21/02/2018,240.65,103,24786.95,221.35,09/04/2018,22799.05,-1987.9,-8.02,System 3 (Double Seven)
01/01/2020,214.3,116,24858.8,220.15,02/01/2020,25537.4,678.6,2.73,System 3 (Double Seven)
06/01/2020,209.3,119,24906.7,213.65,15/01/2020,25424.35,517.65,2.08,System 3 (Double Seven)
20/01/2020,207.3,120,24876.0,197.4,07/02/2020,23688.0,-1188.0,-4.78,System 3 (Double Seven)
31/08/2020,185.25,134,24823.5,196.2,02/09/2020,26290.8,1467.3,5.91,System 3 (Double Seven)
08/09/2020,180.25,138,24874.5,179.05,05/10/2020,24708.9,-165.6,-0.67,System 3 (Double Seven)
09/10/2020,170.0,147,24990.0,179.8,16/10/2020,26430.6,1440.6,5.76,System 3 (Double Seven)
26/10/2020,172.4,145,24998.0,187.35,05/11/2020,27165.75,2167.75,8.67,System 3 (Double Seven)
21/12/2020,232.3,107,24856.1,240.55,31/12/2020,25738.85,882.75,3.55,System 3 (Double Seven)
15/01/2021,253.35,98,24828.3,255.35,02/02/2021,25024.3,196.0,0.79,System 3 (Double Seven)
08/03/2021,336.6,74,24908.4,348.3,01/04/2021,25774.2,865.8,3.48,System 3 (Double Seven)
26/04/2021,348.35,71,24732.85,370.5,29/04/2021,26305.5,1572.65,6.36,System 3 (Double Seven)
26/05/2021,381.0,65,24765.0,394.25,31/05/2021,25626.25,861.25,3.48,System 3 (Double Seven)
08/06/2021,387.75,64,24816.0,382.3,28/06/2021,24467.2,-348.8,-1.41,System 3 (Double Seven)
20/07/2021,383.0,65,24895.0,417.35,27/07/2021,27127.75,2232.75,8.97,System 3 (Double Seven)
10/08/2021,426.95,58,24763.1,437.9,27/08/2021,25398.2,635.1,2.56,System 3 (Double Seven)
20/09/2021,444.4,56,24886.4,494.15,29/09/2021,27672.4,2786.0,11.19,System 3 (Double Seven)
06/10/2021,475.9,52,24746.8,508.05,13/10/2021,26418.6,1671.8,6.76,System 3 (Double Seven)
22/10/2021,470.45,53,24933.85,442.5,07/12/2021,23452.5,-1481.35,-5.94,System 3 (Double Seven)
17/12/2021,450.15,55,24758.25,463.35,22/12/2021,25484.25,726.0,2.93,System 3 (Double Seven)
24/01/2022,478.4,52,24876.8,511.0,01/02/2022,26572.0,1695.2,6.81,System 3 (Double Seven)
21/02/2022,512.0,48,24576.0,533.9,25/02/2022,25627.2,1051.2,4.28,System 3 (Double Seven)
15/03/2022,559.75,44,24629.0,608.45,23/03/2022,26771.8,2142.8,8.7,System 3 (Double Seven)
31/03/2022,569.5,43,24488.5,343.55,28/06/2022,14772.65,-9715.85,-39.68,System 3 (Double Seven)
13/12/2022,458.1,54,24737.4,471.0,27/12/2022,25434.0,696.6,2.82,System 3 (Double Seven)
27/01/2023,479.0,52,24908.0,436.45,23/02/2023,22695.4,-2212.6,-8.88,System 3 (Double Seven)
24/07/2023,433.2,57,24692.4,450.15,25/07/2023,25658.55,966.15,3.91,System 3 (Double Seven)
14/08/2023,449.85,55,24741.75,461.9,31/08/2023,25404.5,662.75,2.68,System 3 (Double Seven)
25/09/2023,469.35,53,24875.55,492.65,29/09/2023,26110.45,1234.9,4.96,System 3 (Double Seven)
19/10/2023,479.95,52,24957.4,474.2,02/11/2023,24658.4,-299.0,-1.2,System 3 (Double Seven)
