ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
13/11/2001,214.05,116,24829.8,220.45,19/11/2001,25572.2,742.4,2.99,System 3 (Double Seven)
26/11/2001,214.25,116,24853.0,217.85,05/12/2001,25270.6,417.6,1.68,System 3 (Double Seven)
26/12/2001,215.0,116,24940.0,218.7,28/12/2001,25369.2,429.2,1.72,System 3 (Double Seven)
07/01/2002,217.65,114,24812.1,215.6,23/01/2002,24578.4,-233.7,-0.94,System 3 (Double Seven)
04/02/2002,218.75,114,24937.5,222.05,06/02/2002,25313.7,376.2,1.51,System 3 (Double Seven)
11/03/2002,239.4,104,24897.6,209.2,07/05/2002,21756.8,-3140.8,-12.61,System 3 (Double Seven)
04/07/2003,171.6,145,24882.0,169.6,25/07/2003,24592.0,-290.0,-1.17,System 3 (Double Seven)
12/09/2003,184.75,135,24941.25,190.9,03/10/2003,25771.5,830.25,3.33,System 3 (Double Seven)
22/10/2003,185.9,134,24910.6,183.1,15/11/2003,24535.4,-375.2,-1.51,System 3 (Double Seven)
19/11/2003,179.25,139,24915.75,180.95,04/12/2003,25152.05,236.3,0.95,System 3 (Double Seven)
12/01/2004,207.75,120,24930.0,194.45,10/02/2004,23334.0,-1596.0,-6.4,System 3 (Double Seven)
18/02/2004,187.75,133,24970.75,154.4,31/03/2004,20535.2,-4435.55,-17.76,System 3 (Double Seven)
13/12/2004,143.95,173,24903.35,146.3,04/01/2005,25309.9,406.55,1.63,System 3 (Double Seven)
06/01/2005,141.85,176,24965.6,147.55,24/01/2005,25968.8,1003.2,4.02,System 3 (Double Seven)
10/02/2005,154.0,162,24948.0,146.2,01/03/2005,23684.4,-1263.6,-5.06,System 3 (Double Seven)
11/03/2005,143.65,174,24995.1,134.95,13/04/2005,23481.3,-1513.8,-6.06,System 3 (Double Seven)
08/06/2005,142.45,175,24928.75,152.65,21/06/2005,26713.75,1785.0,7.16,System 3 (Double Seven)
07/07/2005,158.35,157,24860.95,159.95,18/07/2005,25112.15,251.2,1.01,System 3 (Double Seven)
08/08/2005,161.9,154,24932.6,171.55,16/08/2005,26418.7,1486.1,5.96,System 3 (Double Seven)
23/08/2005,164.9,151,24899.9,167.9,01/09/2005,25352.9,453.0,1.82,System 3 (Double Seven)
22/09/2005,164.8,151,24884.8,180.85,27/09/2005,27308.35,2423.55,9.74,System 3 (Double Seven)
06/10/2005,175.05,142,24857.1,169.65,08/11/2005,24090.3,-766.8,-3.08,System 3 (Double Seven)
09/01/2006,193.25,129,24929.25,188.0,23/01/2006,24252.0,-677.25,-2.72,System 3 (Double Seven)
13/04/2006,271.6,92,24987.2,284.8,21/04/2006,26201.6,1214.4,4.86,System 3 (Double Seven)
05/05/2006,284.9,87,24786.3,222.75,19/06/2006,19379.25,-5407.05,-21.81,System 3 (Double Seven)
17/07/2006,230.5,108,24894.0,240.8,26/07/2006,26006.4,1112.4,4.47,System 3 (Double Seven)
03/08/2006,224.7,111,24941.7,227.15,14/08/2006,25213.65,271.95,1.09,System 3 (Double Seven)
11/09/2006,230.25,108,24867.0,243.8,15/09/2006,26330.4,1463.4,5.88,System 3 (Double Seven)
03/10/2006,249.45,100,24945.0,233.65,31/10/2006,23365.0,-1580.0,-6.33,System 3 (Double Seven)
15/11/2006,244.0,102,24888.0,217.85,11/01/2007,22220.7,-2667.3,-10.72,System 3 (Double Seven)
14/09/2007,212.05,117,24809.85,219.4,21/09/2007,25669.8,859.95,3.47,System 3 (Double Seven)
15/10/2007,219.3,113,24780.9,220.75,25/10/2007,24944.75,163.85,0.66,System 3 (Double Seven)
31/10/2007,207.05,120,24846.0,199.0,12/11/2007,23880.0,-966.0,-3.89,System 3 (Double Seven)
05/12/2007,206.0,121,24926.0,210.7,11/12/2007,25494.7,568.7,2.28,System 3 (Double Seven)
14/01/2008,219.05,114,24971.7,213.25,04/02/2008,24310.5,-661.2,-2.65,System 3 (Double Seven)
12/03/2008,222.25,112,24892.0,231.55,18/03/2008,25933.6,1041.6,4.18,System 3 (Double Seven)
11/04/2008,235.5,106,24963.0,249.0,24/04/2008,26394.0,1431.0,5.73,System 3 (Double Seven)
12/05/2008,247.05,101,24952.05,209.85,08/07/2008,21194.85,-3757.2,-15.06,System 3 (Double Seven)
14/08/2008,239.65,104,24923.6,244.9,22/08/2008,25469.6,546.0,2.19,System 3 (Double Seven)
16/09/2008,240.5,103,24771.5,249.7,22/09/2008,25719.1,947.6,3.83,System 3 (Double Seven)
08/10/2008,238.15,104,24767.6,250.3,21/10/2008,26031.2,1263.6,5.1,System 3 (Double Seven)
12/11/2008,234.55,106,24862.3,236.0,24/11/2008,25016.0,153.7,0.62,System 3 (Double Seven)
31/12/2008,250.3,99,24779.7,263.4,09/01/2009,26076.6,1296.9,5.23,System 3 (Double Seven)
20/01/2009,246.05,101,24851.05,259.05,28/01/2009,26164.05,1313.0,5.28,System 3 (Double Seven)
10/02/2009,258.95,96,24859.2,238.6,23/03/2009,22905.6,-1953.6,-7.86,System 3 (Double Seven)
25/06/2009,258.95,96,24859.2,266.05,26/06/2009,25540.8,681.6,2.74,System 3 (Double Seven)
09/07/2009,265.75,94,24980.5,276.75,23/07/2009,26014.5,1034.0,4.14,System 3 (Double Seven)
10/08/2009,260.65,95,24761.75,268.95,24/08/2009,25550.25,788.5,3.18,System 3 (Double Seven)
27/08/2009,256.4,97,24870.8,273.05,04/09/2009,26485.85,1615.05,6.49,System 3 (Double Seven)
10/09/2009,262.1,95,24899.5,264.65,22/09/2009,25141.75,242.25,0.97,System 3 (Double Seven)
20/10/2009,280.25,89,24942.25,283.1,29/10/2009,25195.9,253.65,1.02,System 3 (Double Seven)
03/11/2009,273.1,91,24852.1,276.6,17/11/2009,25170.6,318.5,1.28,System 3 (Double Seven)
02/12/2009,274.8,90,24732.0,263.95,25/01/2010,23755.5,-976.5,-3.95,System 3 (Double Seven)
09/07/2010,262.4,95,24928.0,260.2,10/08/2010,24719.0,-209.0,-0.84,System 3 (Double Seven)
27/08/2010,263.95,94,24811.3,269.9,02/09/2010,25370.6,559.3,2.25,System 3 (Double Seven)
05/10/2010,304.0,82,24928.0,306.45,21/10/2010,25128.9,200.9,0.81,System 3 (Double Seven)
27/10/2010,293.0,85,24905.0,299.2,04/11/2010,25432.0,527.0,2.12,System 3 (Double Seven)
16/11/2010,298.45,83,24771.35,300.3,06/12/2010,24924.9,153.55,0.62,System 3 (Double Seven)
09/12/2010,289.1,86,24862.6,301.0,13/12/2010,25886.0,1023.4,4.12,System 3 (Double Seven)
22/12/2010,293.5,85,24947.5,304.7,29/12/2010,25899.5,952.0,3.82,System 3 (Double Seven)
10/01/2011,309.0,80,24720.0,279.4,18/02/2011,22352.0,-2368.0,-9.58,System 3 (Double Seven)
24/05/2011,302.25,82,24784.5,310.45,01/06/2011,25456.9,672.4,2.71,System 3 (Double Seven)
22/06/2011,310.75,80,24860.0,324.35,24/06/2011,25948.0,1088.0,4.38,System 3 (Double Seven)
26/07/2011,327.45,76,24886.2,318.15,23/08/2011,24179.4,-706.8,-2.84,System 3 (Double Seven)
22/09/2011,331.9,75,24892.5,343.8,29/09/2011,25785.0,892.5,3.59,System 3 (Double Seven)
04/10/2011,326.25,76,24795.0,331.45,14/10/2011,25190.2,395.2,1.59,System 3 (Double Seven)
21/10/2011,326.1,76,24783.6,336.9,24/10/2011,25604.4,820.8,3.31,System 3 (Double Seven)
22/11/2011,384.9,64,24633.6,397.15,30/11/2011,25417.6,784.0,3.18,System 3 (Double Seven)
09/12/2011,385.7,64,24684.8,396.2,19/12/2011,25356.8,672.0,2.72,System 3 (Double Seven)
02/01/2012,402.4,62,24948.8,397.6,17/01/2012,24651.2,-297.6,-1.19,System 3 (Double Seven)
27/01/2012,389.95,64,24956.8,401.4,03/02/2012,25689.6,732.8,2.94,System 3 (Double Seven)
21/02/2012,381.95,65,24826.75,385.0,07/03/2012,25025.0,198.25,0.8,System 3 (Double Seven)
04/04/2012,399.2,62,24750.4,414.95,10/04/2012,25726.9,976.5,3.95,System 3 (Double Seven)
23/04/2012,417.1,59,24608.9,425.0,02/05/2012,25075.0,466.1,1.89,System 3 (Double Seven)
16/05/2012,427.75,58,24809.5,428.0,31/05/2012,24824.0,14.5,0.06,System 3 (Double Seven)
04/06/2012,412.4,60,24744.0,429.3,08/06/2012,25758.0,1014.0,4.1,System 3 (Double Seven)
02/07/2012,446.6,55,24563.0,446.65,19/07/2012,24565.75,2.75,0.01,System 3 (Double Seven)
20/09/2012,527.5,47,24792.5,537.75,27/09/2012,25274.25,481.75,1.94,System 3 (Double Seven)
25/10/2012,563.95,44,24813.8,537.4,26/11/2012,23645.6,-1168.2,-4.71,System 3 (Double Seven)
07/12/2012,530.65,47,24940.55,544.9,11/12/2012,25610.3,669.75,2.69,System 3 (Double Seven)
12/12/2012,529.75,47,24898.25,532.35,03/01/2013,25020.45,122.2,0.49,System 3 (Double Seven)
09/01/2013,519.3,48,24926.4,464.55,14/02/2013,22298.4,-2628.0,-10.54,System 3 (Double Seven)
05/06/2013,590.3,42,24792.6,593.5,11/06/2013,24927.0,134.4,0.54,System 3 (Double Seven)
20/06/2013,593.3,42,24918.6,601.4,04/07/2013,25258.8,340.2,1.37,System 3 (Double Seven)
26/07/2013,663.7,37,24556.9,631.45,30/08/2013,23363.65,-1193.25,-4.86,System 3 (Double Seven)
27/09/2013,621.0,40,24840.0,614.65,23/10/2013,24586.0,-254.0,-1.02,System 3 (Double Seven)
25/10/2013,593.95,42,24945.9,596.65,18/11/2013,25059.3,113.4,0.45,System 3 (Double Seven)
21/11/2013,574.2,43,24690.6,594.75,29/11/2013,25574.25,883.65,3.58,System 3 (Double Seven)
04/12/2013,572.0,43,24596.0,568.7,20/12/2013,24454.1,-141.9,-0.58,System 3 (Double Seven)
21/04/2014,599.1,41,24563.1,571.5,12/05/2014,23431.5,-1131.6,-4.61,System 3 (Double Seven)
18/06/2014,618.85,40,24754.0,628.85,01/07/2014,25154.0,400.0,1.62,System 3 (Double Seven)
14/07/2014,622.95,40,24918.0,634.1,23/07/2014,25364.0,446.0,1.79,System 3 (Double Seven)
19/09/2014,737.25,33,24329.25,764.1,24/09/2014,25215.3,886.05,3.64,System 3 (Double Seven)
01/10/2014,736.15,33,24292.95,749.75,21/10/2014,24741.75,448.8,1.85,System 3 (Double Seven)
27/10/2014,720.45,34,24495.3,761.5,07/11/2014,25891.0,1395.7,5.7,System 3 (Double Seven)
