ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
12/03/2002,23.0,1086,24978.0,23.09,01/04/2002,25075.74,97.74,0.39,System 3 (Double Seven)
09/04/2002,22.44,1114,24998.16,21.01,06/05/2002,23405.14,-1593.02,-6.37,System 3 (Double Seven)
22/05/2002,24.16,1034,24981.44,25.14,31/05/2002,25994.76,1013.32,4.06,System 3 (Double Seven)
19/06/2002,26.05,959,24981.95,26.75,02/07/2002,25653.25,671.3,2.69,System 3 (Double Seven)
15/07/2002,26.37,948,24998.76,25.34,23/08/2002,24022.32,-976.44,-3.91,System 3 (Double Seven)
20/09/2002,25.61,976,24995.36,26.34,01/10/2002,25707.84,712.48,2.85,System 3 (Double Seven)
09/10/2002,24.85,1006,24999.1,24.55,29/10/2002,24697.3,-301.8,-1.21,System 3 (Double Seven)
02/01/2003,25.26,989,24982.14,25.74,13/01/2003,25456.86,474.72,1.9,System 3 (Double Seven)
05/02/2003,26.25,952,24990.0,26.88,18/02/2003,25589.76,599.76,2.4,System 3 (Double Seven)
05/03/2003,26.62,939,24996.18,24.79,04/04/2003,23277.81,-1718.37,-6.87,System 3 (Double Seven)
24/06/2003,25.52,979,24984.08,26.77,27/06/2003,26207.83,1223.75,4.9,System 3 (Double Seven)
22/07/2003,27.3,915,24979.5,29.45,30/07/2003,26946.75,1967.25,7.88,System 3 (Double Seven)
05/08/2003,27.59,906,24996.54,32.43,21/08/2003,29381.58,4385.04,17.54,System 3 (Double Seven)
17/10/2003,40.17,622,24985.74,41.16,25/10/2003,25601.52,615.78,2.46,System 3 (Double Seven)
18/11/2003,42.98,581,24971.38,45.72,27/11/2003,26563.32,1591.94,6.38,System 3 (Double Seven)
15/01/2004,54.5,458,24961.0,55.55,27/01/2004,25441.9,480.9,1.93,System 3 (Double Seven)
29/01/2004,52.3,478,24999.4,55.74,05/02/2004,26643.72,1644.32,6.58,System 3 (Double Seven)
20/02/2004,53.95,463,24978.85,52.53,04/03/2004,24321.39,-657.46,-2.63,System 3 (Double Seven)
15/03/2004,50.59,494,24991.46,54.52,29/03/2004,26932.88,1941.42,7.77,System 3 (Double Seven)
07/04/2004,52.63,475,24999.25,54.5,19/04/2004,25887.5,888.25,3.55,System 3 (Double Seven)
05/05/2004,54.89,455,24974.95,48.24,03/06/2004,21949.2,-3025.75,-12.12,System 3 (Double Seven)
30/09/2004,52.05,480,24984.0,54.18,05/10/2004,26006.4,1022.4,4.09,System 3 (Double Seven)
11/10/2004,52.04,480,24979.2,53.95,19/10/2004,25896.0,916.8,3.67,System 3 (Double Seven)
25/10/2004,51.88,481,24954.28,54.37,29/10/2004,26151.97,1197.69,4.8,System 3 (Double Seven)
25/11/2004,57.85,432,24991.2,61.11,29/11/2004,26399.52,1408.32,5.64,System 3 (Double Seven)
05/01/2005,65.77,380,24992.6,65.62,31/01/2005,24935.6,-57.0,-0.23,System 3 (Double Seven)
22/02/2005,68.12,366,24931.92,70.82,02/03/2005,25920.12,988.2,3.96,System 3 (Double Seven)
14/03/2005,69.85,357,24936.45,72.9,16/03/2005,26025.3,1088.85,4.37,System 3 (Double Seven)
29/03/2005,70.88,352,24949.76,73.83,01/04/2005,25988.16,1038.4,4.16,System 3 (Double Seven)
18/04/2005,70.33,355,24967.15,69.51,09/05/2005,24676.05,-291.1,-1.17,System 3 (Double Seven)
30/05/2005,70.85,352,24939.2,73.7,07/06/2005,25942.4,1003.2,4.02,System 3 (Double Seven)
20/06/2005,73.66,339,24970.74,77.41,30/06/2005,26241.99,1271.25,5.09,System 3 (Double Seven)
20/07/2005,80.11,312,24994.32,89.71,25/07/2005,27989.52,2995.2,11.98,System 3 (Double Seven)
05/08/2005,90.94,274,24917.56,88.73,06/09/2005,24312.02,-605.54,-2.43,System 3 (Double Seven)
05/10/2005,102.2,244,24936.8,92.87,26/10/2005,22660.28,-2276.52,-9.13,System 3 (Double Seven)
27/10/2005,87.25,286,24953.5,91.91,09/11/2005,26286.26,1332.76,5.34,System 3 (Double Seven)
05/12/2005,96.86,258,24989.88,99.87,09/12/2005,25766.46,776.58,3.11,System 3 (Double Seven)
26/12/2005,101.74,245,24926.3,106.37,30/12/2005,26060.65,1134.35,4.55,System 3 (Double Seven)
12/01/2006,105.05,237,24896.85,108.55,25/01/2006,25726.35,829.5,3.33,System 3 (Double Seven)
03/02/2006,103.81,240,24914.4,114.32,07/02/2006,27436.8,2522.4,10.12,System 3 (Double Seven)
17/02/2006,106.71,234,24970.14,111.86,28/02/2006,26175.24,1205.1,4.83,System 3 (Double Seven)
08/03/2006,107.55,232,24951.6,109.82,03/04/2006,25478.24,526.64,2.11,System 3 (Double Seven)
12/04/2006,105.92,236,24997.12,107.59,29/04/2006,25391.24,394.12,1.58,System 3 (Double Seven)
15/05/2006,112.6,222,24997.2,93.14,22/06/2006,20677.08,-4320.12,-17.28,System 3 (Double Seven)
28/08/2006,106.86,233,24898.38,108.24,29/08/2006,25219.92,321.54,1.29,System 3 (Double Seven)
11/09/2006,108.5,230,24955.0,114.86,13/09/2006,26417.8,1462.8,5.86,System 3 (Double Seven)
11/10/2006,124.91,200,24982.0,130.96,16/10/2006,26192.0,1210.0,4.84,System 3 (Double Seven)
29/11/2006,156.12,160,24979.2,159.85,07/12/2006,25576.0,596.8,2.39,System 3 (Double Seven)
11/12/2006,149.25,167,24924.75,161.3,18/12/2006,26937.1,2012.35,8.07,System 3 (Double Seven)
10/01/2007,160.7,155,24908.5,176.78,12/01/2007,27400.9,2492.4,10.01,System 3 (Double Seven)
29/01/2007,173.81,143,24854.83,181.76,08/02/2007,25991.68,1136.85,4.57,System 3 (Double Seven)
