ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
14/12/2001,65.08,384,24990.72,66.81,03/01/2002,25655.04,664.32,2.66,System 3 (Double Seven)
11/01/2002,61.43,406,24940.58,61.23,06/02/2002,24859.38,-81.2,-0.33,System 3 (Double Seven)
20/02/2002,57.03,438,24979.14,61.28,06/03/2002,26840.64,1861.5,7.45,System 3 (Double Seven)
18/03/2002,62.38,400,24952.0,59.04,10/04/2002,23616.0,-1336.0,-5.35,System 3 (Double Seven)
25/04/2002,59.31,421,24969.51,59.48,08/05/2002,25041.08,71.57,0.29,System 3 (Double Seven)
17/05/2002,59.1,423,24999.3,55.17,11/06/2002,23336.91,-1662.39,-6.65,System 3 (Double Seven)
28/10/2002,58.55,426,24942.3,60.45,01/11/2002,25751.7,809.4,3.25,System 3 (Double Seven)
04/12/2002,68.96,362,24963.52,73.13,11/12/2002,26473.06,1509.54,6.05,System 3 (Double Seven)
10/01/2003,69.5,359,24950.5,70.59,06/02/2003,25341.81,391.31,1.57,System 3 (Double Seven)
11/02/2003,66.3,377,24995.1,66.96,28/02/2003,25243.92,248.82,1.0,System 3 (Double Seven)
07/03/2003,62.85,397,24951.45,65.44,19/03/2003,25979.68,1028.23,4.12,System 3 (Double Seven)
31/03/2003,63.33,394,24952.02,67.11,03/04/2003,26441.34,1489.32,5.97,System 3 (Double Seven)
15/09/2003,63.11,396,24991.56,68.33,22/09/2003,27058.68,2067.12,8.27,System 3 (Double Seven)
07/10/2003,69.9,357,24954.3,72.34,10/10/2003,25825.38,871.08,3.49,System 3 (Double Seven)
21/10/2003,71.12,351,24963.12,72.13,30/10/2003,25317.63,354.51,1.42,System 3 (Double Seven)
12/11/2003,76.07,328,24950.96,73.96,25/11/2003,24258.88,-692.08,-2.77,System 3 (Double Seven)
08/12/2003,76.65,326,24987.9,80.3,15/12/2003,26177.8,1189.9,4.76,System 3 (Double Seven)
15/01/2004,86.9,287,24940.3,88.29,09/02/2004,25339.23,398.93,1.6,System 3 (Double Seven)
18/02/2004,83.62,298,24918.76,83.11,01/03/2004,24766.78,-151.98,-0.61,System 3 (Double Seven)
10/03/2004,76.6,326,24971.6,81.08,19/03/2004,26432.08,1460.48,5.85,System 3 (Double Seven)
30/03/2004,78.72,317,24954.24,83.01,06/04/2004,26314.17,1359.93,5.45,System 3 (Double Seven)
23/04/2004,82.92,301,24958.92,82.77,06/05/2004,24913.77,-45.15,-0.18,System 3 (Double Seven)
11/05/2004,78.85,317,24995.45,83.11,24/05/2004,26345.87,1350.42,5.4,System 3 (Double Seven)
11/06/2004,79.85,313,24993.05,83.61,21/06/2004,26169.93,1176.88,4.71,System 3 (Double Seven)
08/07/2004,84.52,295,24933.4,90.22,15/07/2004,26614.9,1681.5,6.74,System 3 (Double Seven)
10/08/2004,95.32,262,24973.84,96.05,19/08/2004,25165.1,191.26,0.77,System 3 (Double Seven)
23/09/2004,101.89,245,24963.05,105.97,30/09/2004,25962.65,999.6,4.0,System 3 (Double Seven)
24/11/2004,126.49,197,24918.53,130.68,29/11/2004,25743.96,825.43,3.31,System 3 (Double Seven)
24/12/2004,129.08,193,24912.44,130.73,31/12/2004,25230.89,318.45,1.28,System 3 (Double Seven)
06/01/2005,127.73,195,24907.35,127.35,28/01/2005,24833.25,-74.1,-0.3,System 3 (Double Seven)
23/02/2005,133.79,186,24884.94,140.01,28/02/2005,26041.86,1156.92,4.65,System 3 (Double Seven)
15/03/2005,138.18,180,24872.4,139.78,21/03/2005,25160.4,288.0,1.16,System 3 (Double Seven)
23/03/2005,135.15,184,24867.6,141.08,31/03/2005,25958.72,1091.12,4.39,System 3 (Double Seven)
08/04/2005,132.99,187,24869.13,124.7,05/05/2005,23318.9,-1550.23,-6.23,System 3 (Double Seven)
11/07/2005,144.74,172,24895.28,141.78,29/07/2005,24386.16,-509.12,-2.05,System 3 (Double Seven)
09/08/2005,141.51,176,24905.76,144.87,17/08/2005,25497.12,591.36,2.37,System 3 (Double Seven)
22/09/2005,150.78,165,24878.7,157.89,29/09/2005,26051.85,1173.15,4.72,System 3 (Double Seven)
18/10/2005,158.16,158,24989.28,161.66,02/11/2005,25542.28,553.0,2.21,System 3 (Double Seven)
10/01/2006,185.95,134,24917.3,176.74,25/01/2006,23683.16,-1234.14,-4.95,System 3 (Double Seven)
03/02/2006,174.18,143,24907.74,181.42,08/02/2006,25943.06,1035.32,4.16,System 3 (Double Seven)
15/02/2006,173.51,144,24985.44,178.16,27/02/2006,25655.04,669.6,2.68,System 3 (Double Seven)
08/03/2006,175.07,142,24859.94,182.09,10/03/2006,25856.78,996.84,4.01,System 3 (Double Seven)
27/04/2006,195.79,127,24865.33,201.77,08/05/2006,25624.79,759.46,3.05,System 3 (Double Seven)
15/05/2006,196.94,126,24814.44,189.16,30/05/2006,23834.16,-980.28,-3.95,System 3 (Double Seven)
05/06/2006,176.52,141,24889.32,175.07,16/06/2006,24684.87,-204.45,-0.82,System 3 (Double Seven)
21/07/2006,200.26,124,24832.24,207.29,27/07/2006,25703.96,871.72,3.51,System 3 (Double Seven)
08/09/2006,223.68,111,24828.48,229.76,21/09/2006,25503.36,674.88,2.72,System 3 (Double Seven)
04/10/2006,224.99,111,24973.89,233.15,05/10/2006,25879.65,905.76,3.63,System 3 (Double Seven)
23/10/2006,255.19,97,24753.43,261.57,27/10/2006,25372.29,618.86,2.5,System 3 (Double Seven)
06/11/2006,258.75,96,24840.0,267.14,09/11/2006,25645.44,805.44,3.24,System 3 (Double Seven)
