ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
13/12/2001,23.74,1053,24998.22,21.29,03/01/2002,22418.37,-2579.85,-10.32,System 3 (Double Seven)
04/12/2002,21.76,1148,24980.48,22.21,18/12/2002,25497.08,516.6,2.07,System 3 (Double Seven)
06/01/2003,22.33,1119,24987.27,21.61,07/02/2003,24181.59,-805.68,-3.22,System 3 (Double Seven)
07/03/2003,21.34,1171,24989.14,21.12,21/03/2003,24731.52,-257.62,-1.03,System 3 (Double Seven)
26/03/2003,20.76,1204,24995.04,20.97,07/04/2003,25247.88,252.84,1.01,System 3 (Double Seven)
22/07/2003,29.31,852,24972.12,30.45,28/07/2003,25943.4,971.28,3.89,System 3 (Double Seven)
06/08/2003,30.29,825,24989.25,31.28,20/08/2003,25806.0,816.75,3.27,System 3 (Double Seven)
18/09/2003,31.97,781,24968.57,34.27,24/09/2003,26764.87,1796.3,7.19,System 3 (Double Seven)
27/10/2003,43.21,578,24975.38,45.17,31/10/2003,26108.26,1132.88,4.54,System 3 (Double Seven)
14/11/2003,43.49,574,24963.26,44.54,28/11/2003,25565.96,602.7,2.41,System 3 (Double Seven)
06/01/2004,58.45,427,24958.15,63.69,08/01/2004,27195.63,2237.48,8.96,System 3 (Double Seven)
16/01/2004,58.52,427,24988.04,57.93,12/02/2004,24736.11,-251.93,-1.01,System 3 (Double Seven)
11/03/2004,62.78,398,24986.44,63.75,25/03/2004,25372.5,386.06,1.55,System 3 (Double Seven)
29/03/2004,61.73,404,24938.92,63.82,31/03/2004,25783.28,844.36,3.39,System 3 (Double Seven)
19/04/2004,65.81,379,24941.99,70.0,22/04/2004,26530.0,1588.01,6.37,System 3 (Double Seven)
27/04/2004,64.42,388,24994.96,66.02,06/05/2004,25615.76,620.8,2.48,System 3 (Double Seven)
11/05/2004,58.76,425,24973.0,70.66,23/06/2004,30030.5,5057.5,20.25,System 3 (Double Seven)
02/08/2004,84.45,296,24997.2,88.68,04/08/2004,26249.28,1252.08,5.01,System 3 (Double Seven)
13/08/2004,85.15,293,24948.95,89.93,19/08/2004,26349.49,1400.54,5.61,System 3 (Double Seven)
13/09/2004,93.42,267,24943.14,94.89,17/09/2004,25335.63,392.49,1.57,System 3 (Double Seven)
29/09/2004,94.53,264,24955.92,97.25,01/10/2004,25674.0,718.08,2.88,System 3 (Double Seven)
06/10/2004,94.18,265,24957.7,93.58,05/11/2004,24798.7,-159.0,-0.64,System 3 (Double Seven)
22/11/2004,94.04,265,24920.6,97.27,25/11/2004,25776.55,855.95,3.43,System 3 (Double Seven)
03/01/2005,108.53,230,24961.9,105.86,20/01/2005,24347.8,-614.1,-2.46,System 3 (Double Seven)
