ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
03/05/2004,535.05,46,24612.3,417.95,09/06/2004,19225.7,-5386.6,-21.89,System 3 (Double Seven)
30/12/2004,457.4,54,24699.6,470.35,03/01/2005,25398.9,699.3,2.83,System 3 (Double Seven)
05/01/2005,446.65,55,24565.75,437.95,27/01/2005,24087.25,-478.5,-1.95,System 3 (Double Seven)
18/02/2005,463.1,53,24544.3,483.6,04/03/2005,25630.8,1086.5,4.43,System 3 (Double Seven)
09/03/2005,459.95,54,24837.3,430.5,01/04/2005,23247.0,-1590.3,-6.4,System 3 (Double Seven)
28/04/2005,414.8,60,24888.0,432.65,06/05/2005,25959.0,1071.0,4.3,System 3 (Double Seven)
02/06/2005,451.05,55,24807.75,453.9,21/06/2005,24964.5,156.75,0.63,System 3 (Double Seven)
06/07/2005,460.1,54,24845.4,458.15,19/07/2005,24740.1,-105.3,-0.42,System 3 (Double Seven)
10/08/2005,479.35,52,24926.2,485.1,01/09/2005,25225.2,299.0,1.2,System 3 (Double Seven)
10/10/2005,559.75,44,24629.0,572.0,24/10/2005,25168.0,539.0,2.19,System 3 (Double Seven)
27/10/2005,532.6,46,24499.6,572.5,08/11/2005,26335.0,1835.4,7.49,System 3 (Double Seven)
22/12/2005,640.55,39,24981.45,645.1,02/01/2006,25158.9,177.45,0.71,System 3 (Double Seven)
17/01/2006,650.95,38,24736.1,706.3,20/01/2006,26839.4,2103.3,8.5,System 3 (Double Seven)
14/03/2006,866.3,28,24256.4,874.3,31/03/2006,24480.4,224.0,0.92,System 3 (Double Seven)
12/04/2006,841.85,29,24413.65,904.05,21/04/2006,26217.45,1803.8,7.39,System 3 (Double Seven)
25/04/2006,868.35,28,24313.8,923.5,26/04/2006,25858.0,1544.2,6.35,System 3 (Double Seven)
11/05/2006,937.2,26,24367.2,770.05,09/06/2006,20021.3,-4345.9,-17.84,System 3 (Double Seven)
27/06/2006,721.3,34,24524.2,796.7,30/06/2006,27087.8,2563.6,10.45,System 3 (Double Seven)
17/07/2006,755.25,33,24923.25,764.05,26/07/2006,25213.65,290.4,1.17,System 3 (Double Seven)
07/08/2006,768.2,32,24582.4,797.05,09/08/2006,25505.6,923.2,3.76,System 3 (Double Seven)
19/09/2006,916.15,27,24736.05,963.75,27/09/2006,26021.25,1285.2,5.2,System 3 (Double Seven)
06/10/2006,943.0,26,24518.0,958.2,13/10/2006,24913.2,395.2,1.61,System 3 (Double Seven)
07/11/2006,943.9,26,24541.4,911.95,24/11/2006,23710.7,-830.7,-3.38,System 3 (Double Seven)
