ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
18/12/2002,32.48,769,24977.12,33.67,26/12/2002,25892.23,915.11,3.66,System 3 (Double Seven)
03/01/2003,32.26,774,24969.24,33.17,22/01/2003,25673.58,704.34,2.82,System 3 (Double Seven)
24/01/2003,31.67,789,24987.63,31.66,05/02/2003,24979.74,-7.89,-0.03,System 3 (Double Seven)
04/03/2003,32.74,763,24980.62,32.87,20/03/2003,25079.81,99.19,0.4,System 3 (Double Seven)
27/03/2003,31.43,795,24986.85,32.88,04/04/2003,26139.6,1152.75,4.61,System 3 (Double Seven)
15/04/2003,31.63,790,24987.7,30.1,16/05/2003,23779.0,-1208.7,-4.84,System 3 (Double Seven)
23/07/2003,36.95,676,24978.2,39.17,25/07/2003,26478.92,1500.72,6.01,System 3 (Double Seven)
15/09/2003,45.33,551,24976.83,48.07,24/09/2003,26486.57,1509.74,6.04,System 3 (Double Seven)
21/10/2003,52.46,476,24970.96,53.45,30/10/2003,25442.2,471.24,1.89,System 3 (Double Seven)
11/11/2003,53.86,464,24991.04,53.36,27/11/2003,24759.04,-232.0,-0.93,System 3 (Double Seven)
21/01/2004,61.96,403,24969.88,65.96,09/02/2004,26581.88,1612.0,6.46,System 3 (Double Seven)
19/02/2004,65.25,383,24990.75,65.68,05/03/2004,25155.44,164.69,0.66,System 3 (Double Seven)
11/03/2004,63.4,394,24979.6,59.25,29/03/2004,23344.5,-1635.1,-6.55,System 3 (Double Seven)
19/04/2004,61.92,403,24953.76,60.56,06/05/2004,24405.68,-548.08,-2.2,System 3 (Double Seven)
10/05/2004,58.17,429,24954.93,51.46,26/05/2004,22076.34,-2878.59,-11.54,System 3 (Double Seven)
12/10/2004,59.96,416,24943.36,62.73,19/10/2004,26095.68,1152.32,4.62,System 3 (Double Seven)
29/10/2004,59.29,421,24961.09,60.99,10/11/2004,25676.79,715.7,2.87,System 3 (Double Seven)
19/11/2004,59.09,423,24995.07,60.73,02/12/2004,25688.79,693.72,2.78,System 3 (Double Seven)
08/12/2004,56.9,439,24979.1,56.73,23/12/2004,24904.47,-74.63,-0.3,System 3 (Double Seven)
11/01/2005,58.91,424,24977.84,58.52,28/01/2005,24812.48,-165.36,-0.66,System 3 (Double Seven)
18/02/2005,59.85,417,24957.45,61.43,23/02/2005,25616.31,658.86,2.64,System 3 (Double Seven)
15/03/2005,63.96,390,24944.4,64.05,06/04/2005,24979.5,35.1,0.14,System 3 (Double Seven)
13/04/2005,61.13,408,24941.04,61.52,06/05/2005,25100.16,159.12,0.64,System 3 (Double Seven)
12/05/2005,60.4,413,24945.2,59.52,27/05/2005,24581.76,-363.44,-1.46,System 3 (Double Seven)
07/07/2005,68.79,363,24970.77,74.69,15/07/2005,27112.47,2141.7,8.58,System 3 (Double Seven)
12/08/2005,78.9,316,24932.4,79.28,30/08/2005,25052.48,120.08,0.48,System 3 (Double Seven)
07/10/2005,88.34,282,24911.88,87.14,02/11/2005,24573.48,-338.4,-1.36,System 3 (Double Seven)
23/12/2005,94.44,264,24932.16,97.13,27/12/2005,25642.32,710.16,2.85,System 3 (Double Seven)
12/01/2006,99.37,251,24941.87,104.03,17/01/2006,26111.53,1169.66,4.69,System 3 (Double Seven)
15/05/2006,114.47,218,24954.46,104.62,19/06/2006,22807.16,-2147.3,-8.6,System 3 (Double Seven)
17/07/2006,115.56,216,24960.96,113.28,11/08/2006,24468.48,-492.48,-1.97,System 3 (Double Seven)
11/09/2006,121.87,205,24983.35,127.8,15/09/2006,26199.0,1215.65,4.87,System 3 (Double Seven)
04/10/2006,128.74,194,24975.56,130.95,12/10/2006,25404.3,428.74,1.72,System 3 (Double Seven)
26/10/2006,131.65,189,24881.85,137.0,27/10/2006,25893.0,1011.15,4.06,System 3 (Double Seven)
20/11/2006,141.06,177,24967.62,143.36,05/12/2006,25374.72,407.1,1.63,System 3 (Double Seven)
11/12/2006,138.93,179,24868.47,144.91,27/12/2006,25938.89,1070.42,4.3,System 3 (Double Seven)
12/02/2007,152.26,164,24970.64,157.64,15/02/2007,25852.96,882.32,3.53,System 3 (Double Seven)
27/02/2007,157.47,158,24880.26,150.14,21/03/2007,23722.12,-1158.14,-4.65,System 3 (Double Seven)
02/04/2007,147.22,169,24880.18,155.1,09/04/2007,26211.9,1331.72,5.35,System 3 (Double Seven)
06/06/2007,189.5,131,24824.5,193.45,19/06/2007,25341.95,517.45,2.08,System 3 (Double Seven)
28/06/2007,189.58,131,24834.98,192.51,04/07/2007,25218.81,383.83,1.55,System 3 (Double Seven)
30/07/2007,207.14,120,24856.8,205.46,27/08/2007,24655.2,-201.6,-0.81,System 3 (Double Seven)
19/10/2007,276.67,90,24900.3,302.32,26/10/2007,27208.8,2308.5,9.27,System 3 (Double Seven)
17/12/2007,310.93,80,24874.4,324.53,26/12/2007,25962.4,1088.0,4.37,System 3 (Double Seven)
17/01/2008,335.74,74,24844.76,293.23,05/02/2008,21699.02,-3145.74,-12.66,System 3 (Double Seven)
07/02/2008,271.75,91,24729.25,290.63,15/02/2008,26447.33,1718.08,6.95,System 3 (Double Seven)
09/05/2008,283.29,88,24929.52,298.89,21/05/2008,26302.32,1372.8,5.51,System 3 (Double Seven)
26/05/2008,281.85,88,24802.8,255.72,16/06/2008,22503.36,-2299.44,-9.27,System 3 (Double Seven)
21/04/2009,191.16,130,24850.8,202.38,29/04/2009,26309.4,1458.6,5.87,System 3 (Double Seven)
08/06/2009,245.82,101,24827.82,259.96,10/06/2009,26255.96,1428.14,5.75,System 3 (Double Seven)
15/06/2009,244.12,102,24900.24,233.83,29/06/2009,23850.66,-1049.58,-4.22,System 3 (Double Seven)
06/07/2009,212.11,117,24816.87,216.85,16/07/2009,25371.45,554.58,2.23,System 3 (Double Seven)
28/07/2009,213.73,116,24792.68,228.54,04/08/2009,26510.64,1717.96,6.93,System 3 (Double Seven)
17/08/2009,217.58,114,24804.12,228.58,26/08/2009,26058.12,1254.0,5.06,System 3 (Double Seven)
02/09/2009,220.85,113,24956.05,232.56,08/09/2009,26279.28,1323.23,5.3,System 3 (Double Seven)
