timestamp,open,high,low,close,volume
2001-01-16 00:00:00+05:30,14.34,15.38,13.52,15.17,3346949
2001-01-17 00:00:00+05:30,15.38,15.71,15.08,15.21,684464
2001-01-18 00:00:00+05:30,15.38,16.69,15.24,16.43,2356664
2001-01-19 00:00:00+05:30,16.84,17.25,16.31,16.93,2567709
2001-01-22 00:00:00+05:30,16.88,17.23,15.94,16.26,1200565
2001-01-23 00:00:00+05:30,15.94,16.09,15.24,15.43,2129701
2001-01-24 00:00:00+05:30,16.09,16.22,15.64,15.83,743186
2001-01-25 00:00:00+05:30,15.84,15.84,15.34,15.43,1776661
2001-01-29 00:00:00+05:30,14.64,15.0,14.25,14.72,480994
2001-01-30 00:00:00+05:30,15.0,15.38,14.4,14.57,2494058
2001-01-31 00:00:00+05:30,14.91,15.08,14.33,14.53,1491701
2001-02-01 00:00:00+05:30,14.72,14.72,13.95,14.23,492501
2001-02-02 00:00:00+05:30,14.44,15.0,14.21,14.31,3197853
2001-02-05 00:00:00+05:30,14.12,14.42,13.88,14.14,302253
2001-02-06 00:00:00+05:30,14.23,14.4,13.84,13.95,2705909
2001-02-07 00:00:00+05:30,14.59,14.63,14.14,14.21,2093480
2001-02-08 00:00:00+05:30,13.97,14.25,13.84,13.97,1071936
2001-02-09 00:00:00+05:30,13.95,14.06,13.69,13.76,711965
2001-02-12 00:00:00+05:30,13.84,13.84,13.31,13.52,375090
2001-02-13 00:00:00+05:30,13.67,14.23,13.37,13.5,5349480
2001-02-14 00:00:00+05:30,13.82,14.06,13.52,13.74,1796178
2001-02-15 00:00:00+05:30,13.8,13.99,13.73,13.89,552557
2001-02-16 00:00:00+05:30,13.93,14.04,13.13,13.2,663416
2001-02-19 00:00:00+05:30,13.31,13.39,12.75,12.92,435304
2001-02-20 00:00:00+05:30,12.77,12.83,12.0,12.21,2525400
2001-02-21 00:00:00+05:30,12.11,12.15,11.31,11.53,3723664
2001-02-22 00:00:00+05:30,11.25,11.42,10.59,10.84,2156514
2001-02-23 00:00:00+05:30,10.71,10.88,10.13,10.24,2766194
2001-02-26 00:00:00+05:30,10.52,11.06,10.13,10.63,3359970
2001-02-27 00:00:00+05:30,10.91,10.97,9.81,10.59,3501501
2001-02-28 00:00:00+05:30,10.46,11.44,10.31,11.23,3311018
2001-03-01 00:00:00+05:30,11.44,11.78,10.39,10.54,1024349
2001-03-02 00:00:00+05:30,10.69,10.69,8.85,9.24,3818325
2001-03-05 00:00:00+05:30,8.89,10.73,7.78,10.14,5160938
2001-03-07 00:00:00+05:30,10.84,10.97,9.62,9.98,1509176
2001-03-08 00:00:00+05:30,9.64,10.09,9.0,9.36,2791082
2001-03-09 00:00:00+05:30,8.72,8.98,7.88,8.66,1403125
2001-03-12 00:00:00+05:30,8.14,9.0,7.28,7.8,806549
2001-03-13 00:00:00+05:30,7.18,7.84,6.56,7.13,2021362
2001-03-14 00:00:00+05:30,6.99,7.93,5.34,6.69,5844629
2001-03-15 00:00:00+05:30,6.69,7.84,6.0,7.65,1413477
2001-03-16 00:00:00+05:30,7.8,8.89,7.8,8.89,205781
2001-03-19 00:00:00+05:30,9.6,10.31,9.6,10.31,1807053
2001-03-20 00:00:00+05:30,11.14,11.14,9.08,10.43,4615322
2001-03-21 00:00:00+05:30,10.88,10.95,9.6,10.8,2310858
2001-03-22 00:00:00+05:30,10.95,11.66,10.11,10.2,817378
2001-03-23 00:00:00+05:30,10.22,10.31,9.38,9.47,4494141
2001-03-26 00:00:00+05:30,9.71,10.31,9.34,10.14,3090877
2001-03-27 00:00:00+05:30,10.22,11.63,9.56,11.27,2155352
2001-03-28 00:00:00+05:30,11.94,11.94,11.08,11.27,1188696
2001-03-29 00:00:00+05:30,10.91,10.91,10.5,10.59,551320
2001-03-30 00:00:00+05:30,10.5,10.5,9.94,10.28,475597
2001-04-02 00:00:00+05:30,9.94,10.61,9.47,10.41,708170
